periodo,año,trimestre,act_total,pas_prestamos_cp,pas_prestamos_lp,pas_prestamos_total,pas_depositos_vista,pas_depositos_otros,pas_depositos_total,pas_total,sector_codigo,sector_nombre,act_titulos_cp,act_titulos_lp,act_titulos_total,act_prestamos_cp,act_prestamos_lp,act_prestamos_total,act_cuotas_fmm,act_cuotas_fnm,act_depositos_vista,act_depositos_otros,pas_titulos_cp,pas_titulos_lp,pas_titulos_total,activos_netos,act_titulos_total_calc,act_prestamos_total_calc,act_depositos_total_calc,pas_titulos_total_calc,pas_prestamos_total_calc,pas_depositos_total_calc,act_credito_intermediado,act_sin_acciones,activo_proxy
2003T1,2003,1,18732.3816,4.7261,159.3936,164.1197,2499.5075,891.2519,3390.7594,19190.7916,S121,Banco Central,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,164.1197,3390.7594,0.0,0.0,18732.3816
2003T1,2003,1,42004.9771,1521.5136,1730.6178,3252.1314,4405.9165,21370.2594,25776.1759,44310.9567,S122,Bancos y cooperativas,2125.9647,4899.6271,7025.5918,5930.0573,24911.551,30841.6084,21.2034,0.0,1448.7513,1072.7033,0.0,7181.0017,7181.0017,-2305.9796,7025.5918,30841.6083,2521.4546,7181.0017,3252.1314,25776.1759,37867.2001,40409.8581,42004.9771
2003T1,2003,1,,,,,,,,1722.674,S123,Fondos mercado monetario,266.9392,117.6816,384.6209,,,,0.2759,0.0649120000000002,,,,,,,384.62080000000003,0.0,0.0,0.0,0.0,0.0,384.62080000000003,384.961612,1722.674
2003T1,2003,1,,,,,,,,2836.435,S124,Fondos mercado no monetario,170.4279,823.5059,,0.0,34.1088,34.1088,1.2519,42.5245,,,,,,-224.0384,993.9338,34.1088,0.0,0.0,0.0,0.0,1028.0426,1071.819,2836.435
2003T1,2003,1,53430.4146,1054.2189,3938.2217,4992.4406,,,0.2421,50391.9901,S125_S126,Otros intermediarios y auxiliares,38.4466,491.341,529.7876,364.5983,680.0748,1044.673,407.5338,284.1399,735.9083,1244.1437,,,,,529.7876,1044.6731,1980.0520000000001,0.0,4992.4406,0.0,1574.4607,4246.1864000000005,53430.4146
2003T1,2003,1,9404.0503,,,,,,,,S128,Compañías de seguros,6.5742,6654.1783,,,,,,,77.5072,189.8702,,,,,6660.7525,0.0,267.3774,0.0,0.0,0.0,6660.7525,6928.1299,9404.0503
2003T1,2003,1,26282.1569,,,,,,,26282.1551,S129,Fondos de pensiones,122.565,14167.1299,,0.0,0.0,0.0,0.0,3766.4466,20.6592,5493.6957,,,,,14289.6949,0.0,5514.3549,0.0,0.0,0.0,14289.6949,23570.4964,26282.1569
2003T1,2003,1,12425.6632,0.0324,6056.4271,6056.4595,,,0.0,14177.3244,S13,Gobierno general,0.0,45.9971,,,,,,,1923.6306,585.8149,0.0,5956.8992,5956.8992,,45.9971,0.0,2509.4455,5956.8992,6056.4595,0.0,45.9971,2555.4426,12425.6632
2003T1,2003,1,88646.7661,3203.3386,32637.8397,35841.1783,,,,175655.8977,S11,Empresas no financieras,262.4088,1686.914,1949.3228,0.5495,1195.7886,1196.3381,449.0124,254.4525,1401.9885,9585.6902,24.3746,8351.2309,8375.6055,-87009.1315,1949.3228,1196.3381000000002,10987.678699999999,8375.6055,35841.1783,0.0,3145.6609,14836.804499999998,88646.7661
2003T1,2003,1,78202.0221,1273.0564,10079.0013,11352.0577,,,,12245.1548,S14_S15,Hogares e IPSFLSH,9.1616,4.3287,13.4903,,,,740.1671,1314.2574,2446.9134,7908.0727,,,,65956.8673,13.490300000000001,0.0,10354.9861,0.0,11352.0577,0.0,13.490300000000001,12422.9009,78202.0221
2003T1,2003,1,68452.3791,,,,,,,45041.0393,S2,Resto del mundo,0.0,7037.609,,1135.7484,20238.7764,21374.5248,76.7528,88.4792,162.7165,57.9184,,,,,7037.609,21374.5248,220.6349,0.0,0.0,0.0,28412.1338,28798.0007,68452.3791
2003T2,2003,2,17218.0817,2.6694,156.1386,158.808,2066.7079,148.1913,2214.8992,17699.5581,S121,Banco Central,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,158.808,2214.8992,0.0,0.0,17218.0817
2003T2,2003,2,41988.8006,1478.9666,1733.2147,3212.1813,4360.9187,21074.368,25435.2867,44906.7303,S122,Bancos y cooperativas,2173.7756,4796.5488,6970.3244,5731.2347,25385.1955,31116.4302,42.3624,0.0,1255.3762,878.7239,0.0,7355.5528,7355.5528,-2917.9297,6970.3243999999995,31116.430200000003,2134.1000999999997,7355.5528,3212.1813,25435.286699999997,38086.7546,40263.217099999994,41988.8006
2003T2,2003,2,,,,,,,,2246.3617,S123,Fondos mercado monetario,161.1559,181.6701,342.826,,,,0.5033,0.114336,,,,,,,342.826,0.0,0.0,0.0,0.0,0.0,342.826,343.443636,2246.3617
2003T2,2003,2,,,,,,,,2967.7838,S124,Fondos mercado no monetario,164.7072,1016.9407,,0.0,34.6306,34.6306,1.1479,46.3411,,,,,,-229.4059,1181.6479,34.6306,0.0,0.0,0.0,0.0,1216.2785,1263.7675,2967.7838
2003T2,2003,2,55940.9375,1061.3158,3989.8483,5051.1641,,,0.2811,52412.9799,S125_S126,Otros intermediarios y auxiliares,40.6643,500.1384,540.8027,338.1734,756.4985,1094.6719,462.6683,336.5494,1008.5482,1303.6826,,,,,540.8027,1094.6719,2312.2308000000003,0.0,5051.1641,0.0,1635.4746,4746.9231,55940.9375
2003T2,2003,2,9724.9061,,,,,,,,S128,Compañías de seguros,6.4738,6830.5119,,,,,,,76.7171,207.3258,,,,,6836.9857,0.0,284.0429,0.0,0.0,0.0,6836.9857,7121.028600000001,9724.9061
2003T2,2003,2,27768.8538,,,,,,,27768.8518,S129,Fondos de pensiones,193.746,14268.8428,,0.0,0.0,0.0,0.0,4854.2969,44.3785,4928.9018,,,,,14462.5888,0.0,4973.280299999999,0.0,0.0,0.0,14462.5888,24290.166,27768.8538
2003T2,2003,2,11430.8196,0.0356,5602.2093,5602.245,,,0.0,13775.4093,S13,Gobierno general,0.0,108.5751,,,,,,,1129.617,765.5827,0.0,5905.8651,5905.8651,,108.5751,0.0,1895.1997000000001,5905.8651,5602.244900000001,0.0,108.5751,2003.7748000000001,11430.8196
2003T2,2003,2,91856.7314,3005.0389,31583.5481,34588.587,,,,179872.8734,S11,Empresas no financieras,223.7661,1694.2205,1917.9866,0.5727,1164.4455,1165.0182,643.6008,215.9557,1810.0663,8087.0627,64.9991,8378.1539,8443.153,-88016.142,1917.9866,1165.0182,9897.129,8443.152999999998,34588.587,0.0,3083.0047999999997,13839.6903,91856.7314
2003T2,2003,2,81870.7335,1240.3174,10452.6733,11692.9906,,,,12619.4412,S14_S15,Hogares e IPSFLSH,9.3644,8.2989,17.6633,,,,965.1757,1374.4001,3053.606,7721.8026,,,,69251.2923,17.6633,0.0,10775.4086,0.0,11692.9907,0.0,17.6633,13132.647700000001,81870.7335
2003T2,2003,2,66449.4544,,,,,,,44522.9637,S2,Resto del mundo,0.0,6850.1468,,1044.1601,18914.0122,19958.1723,100.0854,92.5895,174.8667,44.6856,,,,,6850.1468,19958.172300000002,219.5523,0.0,0.0,0.0,26808.3191,27220.546299999998,66449.4544
2003T3,2003,3,16625.2097,1.3003,153.3167,154.617,2082.6325,126.4761,2209.1086,16976.4662,S121,Banco Central,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,154.617,2209.1086,0.0,0.0,16625.2097
2003T3,2003,3,42002.4768,1586.6164,1777.9143,3364.5307,4373.7082,20818.7436,25192.4518,45237.7288,S122,Bancos y cooperativas,1889.3492,4943.7447,6833.094,5597.642,25690.7051,31288.3471,68.6165,0.0,1259.6421,888.3789,0.0,7194.2752,7194.2752,-3235.2519,6833.0939,31288.3471,2148.021,7194.2752,3364.5307000000003,25192.451800000003,38121.441,40338.078499999996,42002.4768
2003T3,2003,3,,,,,,,,2368.186,S123,Fondos mercado monetario,127.6296,188.6648,316.2944,,,,0.7738,0.181596,,,,,,,316.2944,0.0,0.0,0.0,0.0,0.0,316.2944,317.249796,2368.186
2003T3,2003,3,,,,,,,,3409.3343,S124,Fondos mercado no monetario,148.7057,1217.8751,,0.0,32.3784,32.3784,1.29,52.4141,,,,,,-233.4414,1366.5808,32.3784,0.0,0.0,0.0,0.0,1398.9592,1452.6633,3409.3343
2003T3,2003,3,57771.8778,1071.3731,3998.2862,5069.6593,,,0.3205,53951.1031,S125_S126,Otros intermediarios y auxiliares,36.5055,506.3846,542.8901,328.9833,855.1298,1184.1131,478.4634,351.1282,826.7135,1354.8421,,,,,542.8901,1184.1131,2181.5556,0.0,5069.6593,0.0,1727.0032,4738.1504,57771.8778
2003T3,2003,3,9925.6671,,,,,,,,S128,Compañías de seguros,5.7587,6898.236,,,,,,,85.3658,195.7677,,,,,6903.9947,0.0,281.13349999999997,0.0,0.0,0.0,6903.9947,7185.1282,9925.6671
2003T3,2003,3,28842.7711,,,,,,,28842.7693,S129,Fondos de pensiones,298.4069,13818.1492,,0.0,0.0,0.0,0.0,5847.8252,46.7728,4536.3084,,,,,14116.5561,0.0,4583.0812,0.0,0.0,0.0,14116.5561,24547.462499999998,28842.7711
2003T3,2003,3,10794.7848,0.0388,5390.3137,5390.3526,,,0.0,13535.8121,S13,Gobierno general,0.0,243.3348,,,,,,,1193.5549,323.0306,0.0,5778.2785,5778.2785,,243.3348,0.0,1516.5855000000001,5778.2785,5390.3525,0.0,243.3348,1759.9203000000002,10794.7848
2003T3,2003,3,95450.1857,2871.2464,31176.4356,34047.682,,,,185209.8573,S11,Empresas no financieras,75.3293,1646.5297,1721.859,0.5218,1154.0291,1154.5509,656.4999,236.8151,1661.3102,7295.3493,55.6253,8213.4863,8269.1116,-89759.6716,1721.8590000000002,1154.5509,8956.6595,8269.1116,34047.682,0.0,2876.4099,12726.3844,95450.1857
2003T3,2003,3,85118.6521,1238.6385,10750.6465,11989.285,,,,12952.8428,S14_S15,Hogares e IPSFLSH,8.4924,11.8752,20.3676,,,,1017.519,1607.5432,3914.2449,7408.1538,,,,72165.8092,20.3676,0.0,11322.3987,0.0,11989.285,0.0,20.3676,13967.8285,85118.6521
2003T3,2003,3,64789.5127,,,,,,,43662.7782,S2,Resto del mundo,0.0,6407.2372,,1274.9174,18349.228,19624.1453,105.5132,108.0608,225.8303,42.6507,,,,,6407.2372,19624.145399999998,268.481,0.0,0.0,0.0,26031.382599999997,26513.437599999997,64789.5127
2003T4,2003,4,15789.8984,5.4547,146.3206,151.7753,2998.8562,110.9897,3109.8459,16219.2209,S121,Banco Central,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,151.77530000000002,3109.8459000000003,0.0,0.0,15789.8984
2003T4,2003,4,42913.731,2659.4678,1670.7257,4330.1935,5185.4595,20460.1401,25645.5997,46242.4342,S122,Bancos y cooperativas,1492.1271,4915.6463,6407.7734,5656.7709,26219.102,31875.8729,82.6192,0.0,1901.575,1242.2302,0.0,7029.5958,7029.5958,-3328.7032,6407.7734,31875.8729,3143.8052,7029.5958,4330.193499999999,25645.5996,38283.6463,41510.070700000004,42913.731
2003T4,2003,4,,,,,,,,2684.4365,S123,Fondos mercado monetario,131.2993,304.2264,435.5256,,,,0.3799,0.781627000000001,,,,,,,435.52570000000003,0.0,0.0,0.0,0.0,0.0,435.52570000000003,436.68722700000006,2684.4365
2003T4,2003,4,,,,,,,,3452.0236,S124,Fondos mercado no monetario,229.6877,1211.037,,0.0,27.3087,27.3087,1.6875,64.4359,,,,,,-209.2433,1440.7247,27.3087,0.0,0.0,0.0,0.0,1468.0334,1534.1568,3452.0236
2003T4,2003,4,56741.2476,1076.8352,4017.1207,5093.956,,,0.3599,52979.4835,S125_S126,Otros intermediarios y auxiliares,38.0694,518.1949,556.2642,340.4487,912.6745,1253.1232,507.0526,378.6974,854.9669,1311.1176,,,,,556.2642999999999,1253.1232,2166.0845,0.0,5093.9559,0.0,1809.3874999999998,4861.222,56741.2476
2003T4,2003,4,10229.0142,,,,,,,,S128,Compañías de seguros,13.6184,7071.9169,,,,,,,70.7263,185.7895,,,,,7085.5353000000005,0.0,256.5158,0.0,0.0,0.0,7085.5353000000005,7342.051100000001,10229.0142
2003T4,2003,4,29579.5423,,,,,,,29579.5412,S129,Fondos de pensiones,337.3029,13172.7939,,0.0,0.0,0.0,0.0,6807.3724,71.6616,4434.196,,,,,13510.096800000001,0.0,4505.8576,0.0,0.0,0.0,13510.096800000001,24823.326800000003,29579.5423
2003T4,2003,4,9435.213,0.0421,4699.1667,4699.2087,,,0.0,12719.9735,S13,Gobierno general,0.0,84.7722,,,,,,,1346.6783,243.8025,0.0,5637.004,5637.004,,84.7722,0.0,1590.4808,5637.004,4699.208799999999,0.0,84.7722,1675.2530000000002,9435.213
2003T4,2003,4,97451.3016,2915.4981,29117.2837,32032.7818,,,,185154.527,S11,Empresas no financieras,35.3605,2348.5597,2383.9202,0.4585,1151.1132,1151.5718,774.9178,199.8375,1791.8369,5722.0109,81.2915,8754.5706,8835.862,-87703.2254,2383.9201999999996,1151.5717,7513.8478000000005,8835.862099999998,32032.7818,0.0,3535.4918999999995,12024.095,97451.3016
2003T4,2003,4,87738.0134,1251.8089,11180.883,12432.6919,,,,13438.6757,S14_S15,Hogares e IPSFLSH,11.2882,14.2693,25.5576,,,,1153.3997,1615.2202,5095.5085,7164.7589,,,,74299.3376,25.557499999999997,0.0,12260.2674,0.0,12432.6919,0.0,25.557499999999997,15054.444800000001,87738.0134
2003T4,2003,4,59151.9096,,,,,,,41461.3148,S2,Resto del mundo,0.0,6009.8773,,1593.8727,16037.7246,17631.5974,119.6036,108.6709,181.4289,38.1668,,,,,6009.8773,17631.5973,219.5957,0.0,0.0,0.0,23641.4746,24089.344800000003,59151.9096
2004T1,2004,1,15741.3796,4.7191,150.5231,155.2422,2241.32,142.8083,2384.1283,16376.3184,S121,Banco Central,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,155.2422,2384.1283000000003,0.0,0.0,15741.3796
2004T1,2004,1,43633.6482,1742.5068,1740.3579,3482.8647,4969.5364,21795.903,26765.4394,48049.9898,S122,Bancos y cooperativas,1949.7099,5132.2343,7081.9441,5095.8126,27073.1141,32168.9267,127.9463,0.0,1553.0433,1276.688,0.0,7165.1302,7165.1302,-4416.3415,7081.9442,32168.9267,2829.7313000000004,7165.1302,3482.8647,26765.4394,39250.8709,42208.548500000004,43633.6482
2004T1,2004,1,,,,,,,,3114.6325,S123,Fondos mercado monetario,155.6109,404.038,559.6489,,,,0.0,0.807817000000001,,,,,,,559.6489,0.0,0.0,0.0,0.0,0.0,559.6489,560.456717,3114.6325
2004T1,2004,1,,,,,,,,4094.3797,S124,Fondos mercado no monetario,226.6688,1461.8537,,0.0,25.5163,25.5163,2.3236,78.118,,,,,,-208.5433,1688.5224999999998,25.5163,0.0,0.0,0.0,0.0,1714.0387999999998,1794.4803999999997,4094.3797
2004T1,2004,1,57752.7846,1024.0084,4117.8412,5141.8496,,,0.3988,53948.0593,S125_S126,Otros intermediarios y auxiliares,41.2447,536.8387,578.0833,341.9746,1004.8221,1346.7966,548.1663,413.7785,856.9309,1344.9739,,,,,578.0834,1346.7966999999999,2201.9048,0.0,5141.8496,0.0,1924.8800999999999,5088.7297,57752.7846
2004T1,2004,1,10671.4709,,,,,,,,S128,Compañías de seguros,20.9934,7429.4536,,,,,,,70.0188,169.3458,,,,,7450.447,0.0,239.3646,0.0,0.0,0.0,7450.447,7689.8116,10671.4709
2004T1,2004,1,30847.4526,,,,,,,30847.452,S129,Fondos de pensiones,71.5816,13005.4159,,0.0,0.0,0.0,0.0,7972.0126,47.7879,5278.4038,,,,,13076.9975,0.0,5326.1917,0.0,0.0,0.0,13076.9975,26375.201800000003,30847.4526
2004T1,2004,1,10312.1693,0.0452,4770.5698,4770.615,,,0.0,13550.2114,S13,Gobierno general,0.0,64.4146,,,,,,,1161.6198,762.8308,0.0,6425.1913,6425.1913,,64.4146,0.0,1924.4506,6425.1913,4770.615,0.0,64.4146,1988.8652,10312.1693
