periodo,año,trimestre,acreedor_codigo,acreedor_nombre,acreedor_clasif,deudor_codigo,deudor_nombre,deudor_clasif,exp_ij,pasivo_red_j,D_fondeo
2003T1,2003,1,S2,Resto del mundo,Resto del mundo,S11,Empresas no financieras,Empresas NF,19991.781672989004,44216.78387027655,0.4521310670545602
2003T1,2003,1,S122,Bancos y cooperativas,Bancario,S11,Empresas no financieras,Empresas NF,18800.703211338743,44216.78387027655,0.4251938193084407
2003T1,2003,1,S128,Compañías de seguros,NBFI,S11,Empresas no financieras,Empresas NF,2207.9586498946796,44216.78387027655,0.04993485406746002
2003T1,2003,1,S129,Fondos de pensiones,NBFI,S11,Empresas no financieras,Empresas NF,1652.025596020333,44216.78387027655,0.0373619574156966
2003T1,2003,1,S13,Gobierno general,Gobierno,S11,Empresas no financieras,Empresas NF,519.9266575529999,44216.78387027655,0.011758581516881998
2003T1,2003,1,S125_S126,Otros intermediarios,NBFI,S11,Empresas no financieras,Empresas NF,516.3907072400857,44216.78387027655,0.011678613007112313
2003T1,2003,1,S124,FNM,NBFI,S11,Empresas no financieras,Empresas NF,282.86304852121833,44216.78387027655,0.006397187306772097
2003T1,2003,1,S11,Empresas no financieras,Empresas NF,S11,Empresas no financieras,Empresas NF,215.6382874395544,44216.78387027655,0.004876842424184337
2003T1,2003,1,S123,FMM,NBFI,S11,Empresas no financieras,Empresas NF,27.340464121999986,44216.78387027655,0.0006183277418414599
2003T1,2003,1,S14_S15,Hogares,Hogares,S11,Empresas no financieras,Empresas NF,2.1555751579332645,44216.78387027655,4.875015705025727e-05
2003T1,2003,1,S122,Bancos y cooperativas,Bancario,S121,Banco Central,Banco Central,6849.193647072858,16346.955671800908,0.4189889410961067
2003T1,2003,1,S129,Fondos de pensiones,NBFI,S121,Banco Central,Banco Central,6508.0318099999995,16346.955671800908,0.3981188877404611
2003T1,2003,1,S13,Gobierno general,Gobierno,S121,Banco Central,Banco Central,1071.17359748,16346.955671800908,0.06552740577426372
2003T1,2003,1,S11,Empresas no financieras,Empresas NF,S121,Banco Central,Banco Central,438.81972467495405,16346.955671800908,0.02684412519891603
2003T1,2003,1,S128,Compañías de seguros,NBFI,S121,Banco Central,Banco Central,423.57357,16346.955671800908,0.025911465015512326
2003T1,2003,1,S123,FMM,NBFI,S121,Banco Central,Banco Central,299.87457069599986,16346.955671800908,0.01834436801057058
2003T1,2003,1,S125_S126,Otros intermediarios,NBFI,S121,Banco Central,Banco Central,289.47807092309773,16346.955671800908,0.017708378045121754
2003T1,2003,1,S2,Resto del mundo,Resto del mundo,S121,Banco Central,Banco Central,273.39215,16346.955671800908,0.016724346446452498
2003T1,2003,1,S124,FNM,NBFI,S121,Banco Central,Banco Central,193.41853095400015,16346.955671800908,0.01183208267259537
2003T1,2003,1,S14_S15,Hogares,Hogares,S122,Bancos y cooperativas,Bancario,8897.951356861999,36209.30910720774,0.24573656819899925
2003T1,2003,1,S129,Fondos de pensiones,NBFI,S122,Bancos y cooperativas,Bancario,8782.545500000999,36209.30910720774,0.24254938071305995
2003T1,2003,1,S11,Empresas no financieras,Empresas NF,S122,Bancos y cooperativas,Bancario,5402.238287024808,36209.30910720774,0.14919473528285168
2003T1,2003,1,S2,Resto del mundo,Resto del mundo,S122,Bancos y cooperativas,Bancario,3051.3528645369997,36209.30910720774,0.08426984495900268
2003T1,2003,1,S128,Compañías de seguros,NBFI,S122,Bancos y cooperativas,Bancario,2772.90656,36209.30910720774,0.07657993561241498
2003T1,2003,1,S125_S126,Otros intermediarios,NBFI,S122,Bancos y cooperativas,Bancario,2040.9722934069616,36209.30910720774,0.056365955157114296
2003T1,2003,1,S122,Bancos y cooperativas,Bancario,S122,Bancos y cooperativas,Bancario,1933.0987688290436,36209.30910720774,0.053386789654162325
2003T1,2003,1,S123,FMM,NBFI,S122,Bancos y cooperativas,Bancario,1352.4690282730005,36209.30910720774,0.03735141767738897
2003T1,2003,1,S124,FNM,NBFI,S122,Bancos y cooperativas,Bancario,1194.31088481,36209.30910720774,0.032983531424858464
2003T1,2003,1,S13,Gobierno general,Gobierno,S122,Bancos y cooperativas,Bancario,770.4496434639276,36209.30910720774,0.021277667607045386
2003T1,2003,1,S121,Banco Central,Banco Central,S122,Bancos y cooperativas,Bancario,11.013919999999926,36209.30910720774,0.0003041737131020686
2003T1,2003,1,S14_S15,Hogares,Hogares,S123,FMM,NBFI,740.1671424380005,1705.6177926820008,0.4339583848232046
2003T1,2003,1,S11,Empresas no financieras,Empresas NF,S123,FMM,NBFI,449.01243036999733,1705.6177926820008,0.26325501076296065
2003T1,2003,1,S125_S126,Otros intermediarios,NBFI,S123,FMM,NBFI,391.348434700003,1705.6177926820008,0.22944673559287082
2003T1,2003,1,S2,Resto del mundo,Resto del mundo,S123,FMM,NBFI,76.75280067100003,1705.6177926820008,0.04500000000018175
2003T1,2003,1,S128,Compañías de seguros,NBFI,S123,FMM,NBFI,21.34311000000001,1705.6177926820008,0.012513418945072689
2003T1,2003,1,S122,Bancos y cooperativas,Bancario,S123,FMM,NBFI,21.203420000000012,1705.6177926820008,0.01243151900207295
2003T1,2003,1,S13,Gobierno general,Gobierno,S123,FMM,NBFI,4.538534503,1705.6177926820008,0.0026609329021265522
2003T1,2003,1,S124,FNM,NBFI,S123,FMM,NBFI,1.251920000000001,1705.6177926820008,0.0007339979715100286
2003T1,2003,1,S14_S15,Hogares,Hogares,S124,FNM,NBFI,1314.2573777180003,2776.8866496780006,0.47328448853697275
2003T1,2003,1,S129,Fondos de pensiones,NBFI,S124,FNM,NBFI,642.528269992,2776.8866496780006,0.23138440672992744
2003T1,2003,1,S125_S126,Otros intermediarios,NBFI,S124,FNM,NBFI,271.4939123,2776.8866496780006,0.09776917337676769
2003T1,2003,1,S11,Empresas no financieras,Empresas NF,S124,FNM,NBFI,254.45246213600035,2776.8866496780006,0.09163228256562286
2003T1,2003,1,S128,Compañías de seguros,NBFI,S124,FNM,NBFI,157.61616999999998,2776.8866496780006,0.056760030164816656
2003T1,2003,1,S2,Resto del mundo,Resto del mundo,S124,FNM,NBFI,88.47916753200002,2776.8866496780006,0.031862722067629155
2003T1,2003,1,S122,Bancos y cooperativas,Bancario,S124,FNM,NBFI,47.900400000000005,2776.8866496780006,0.017249677802136574
2003T1,2003,1,S124,FNM,NBFI,S124,FNM,NBFI,0.15888999999999684,2776.8866496780006,5.7218756126909694e-05
2003T1,2003,1,S122,Bancos y cooperativas,Bancario,S125_S126,Otros intermediarios,NBFI,1910.6701213845338,5991.619868523426,0.31889041082564523
2003T1,2003,1,S2,Resto del mundo,Resto del mundo,S125_S126,Otros intermediarios,NBFI,1721.1028357379998,5991.619868523426,0.2872516737551557
2003T1,2003,1,S121,Banco Central,Banco Central,S125_S126,Otros intermediarios,NBFI,1389.69141,5991.619868523426,0.23193918180635104
2003T1,2003,1,S128,Compañías de seguros,NBFI,S125_S126,Otros intermediarios,NBFI,368.0151701053218,5991.619868523426,0.06142164859934871
2003T1,2003,1,S129,Fondos de pensiones,NBFI,S125_S126,Otros intermediarios,NBFI,250.58734253566547,5991.619868523426,0.04182297075488873
