periodo,año,trimestre,sector_codigo,sector_nombre,activo_bancos_red,exp_bancos_en_nbfi,ratio_exp_bancos_nbfi
2003T1,2003,1,S122,Bancos y cooperativas,39893.642034781195,2063.932433502534,0.05173587389446916
2003T2,2003,2,S122,Bancos y cooperativas,39754.04637419237,2316.7654875506723,0.05827747610252515
2003T3,2003,3,S122,Bancos y cooperativas,39802.71878705912,2443.9051149566853,0.061400456788676984
2003T4,2003,4,S122,Bancos y cooperativas,40937.194923673065,2499.4787256502746,0.061056423878346436
2004T1,2004,1,S122,Bancos y cooperativas,41636.87812767782,2773.464571996575,0.06661077142940106
2004T2,2004,2,S122,Bancos y cooperativas,42793.81847741059,3018.3455459734773,0.07053227903854291
2004T3,2004,3,S122,Bancos y cooperativas,43107.0034156193,3080.1144004869852,0.07145276072172864
2004T4,2004,4,S122,Bancos y cooperativas,45098.973059338765,3286.145112070018,0.07286518714619705
2005T1,2005,1,S122,Bancos y cooperativas,46673.77337198123,3365.9209307739006,0.07211589480773584
2005T2,2005,2,S122,Bancos y cooperativas,48725.241146590575,3531.749158056963,0.0724829487745714
2005T3,2005,3,S122,Bancos y cooperativas,49764.92192705762,3703.882323901955,0.07442757228336214
2005T4,2005,4,S122,Bancos y cooperativas,52726.172957518334,3713.3019166563768,0.07042616045067783
2006T1,2006,1,S122,Bancos y cooperativas,54144.84289909297,3886.2093058973533,0.07177432046741528
2006T2,2006,2,S122,Bancos y cooperativas,55806.62522848947,3799.674375526036,0.06808643884071114
2006T3,2006,3,S122,Bancos y cooperativas,57294.49922720596,3810.524584227943,0.06650768635077864
2006T4,2006,4,S122,Bancos y cooperativas,59828.61447778114,4136.247692072556,0.06913494033208233
2007T1,2007,1,S122,Bancos y cooperativas,61848.4327450638,3909.8686261136836,0.06321693942076058
2007T2,2007,2,S122,Bancos y cooperativas,65340.11904240202,3897.54118667565,0.059650047226671984
2007T3,2007,3,S122,Bancos y cooperativas,67479.62540016146,4062.1665300502636,0.06019841553596627
2007T4,2007,4,S122,Bancos y cooperativas,71707.61910540704,4217.261036570269,0.05881189599073261
2008T1,2008,1,S122,Bancos y cooperativas,73115.21354823097,4164.448304197519,0.05695734310411897
2008T2,2008,2,S122,Bancos y cooperativas,77925.88156283613,4523.35800240072,0.05804692756351143
2008T3,2008,3,S122,Bancos y cooperativas,82008.89414536928,4460.660723123998,0.05439240181945404
2008T4,2008,4,S122,Bancos y cooperativas,87290.3079158077,4481.986905036803,0.051345756614350826
2009T1,2009,1,S122,Bancos y cooperativas,83826.78174130878,4640.419609736157,0.05535724398983359
2009T2,2009,2,S122,Bancos y cooperativas,82984.39903898764,4485.29014053224,0.054049799630710896
2009T3,2009,3,S122,Bancos y cooperativas,85100.44116121116,4433.276901956753,0.052094640655957536
2009T4,2009,4,S122,Bancos y cooperativas,89293.52405348197,4404.648197201969,0.049327745140440686
2010T1,2010,1,S122,Bancos y cooperativas,88441.13237200868,4631.370344726523,0.05236670110967888
2010T2,2010,2,S122,Bancos y cooperativas,89591.95723015834,4487.82184922673,0.05009179381691244
2010T3,2010,3,S122,Bancos y cooperativas,89459.98711228518,4259.300264391428,0.0476112327072593
2010T4,2010,4,S122,Bancos y cooperativas,93225.33883194777,4359.975291924244,0.0467681356437195
2011T1,2011,1,S122,Bancos y cooperativas,96735.47744684601,4776.20231505641,0.04937384340384144
2011T2,2011,2,S122,Bancos y cooperativas,100834.34093010331,4825.216548465278,0.04785290907797015
2011T3,2011,3,S122,Bancos y cooperativas,104548.63882900674,4917.5928405061495,0.04703641190918859
2011T4,2011,4,S122,Bancos y cooperativas,110713.35428430155,5135.858386844438,0.046388788597769647
2012T1,2012,1,S122,Bancos y cooperativas,110280.50161400225,5282.201961791484,0.04789787754393752
2012T2,2012,2,S122,Bancos y cooperativas,115425.85056462364,6039.787058877098,0.052326121309330044
2012T3,2012,3,S122,Bancos y cooperativas,116381.35523285074,6282.387705662305,0.0539810495684019
2012T4,2012,4,S122,Bancos y cooperativas,120987.05820750973,5689.473258389859,0.047025469853408754
2013T1,2013,1,S122,Bancos y cooperativas,121268.55557363616,6424.013934923112,0.052973451399133314
2013T2,2013,2,S122,Bancos y cooperativas,124291.01170453131,6324.274433374055,0.05088279793239055
2013T3,2013,3,S122,Bancos y cooperativas,126079.58280761052,5541.529071611088,0.043952628555783774
2013T4,2013,4,S122,Bancos y cooperativas,130980.31374969288,5701.866923664225,0.04353224359013719
2014T1,2014,1,S122,Bancos y cooperativas,132484.22919533748,5842.393611822656,0.04409878554834259
2014T2,2014,2,S122,Bancos y cooperativas,133062.19638825732,5276.224124733815,0.039652314992144826
