periodo,año,trimestre,activo_nbfi_red_total,ratio_exp_nbfi_bancos_agg
2003T1,2003,1,40002.255310688444,0.4035573529819845
2003T2,2003,2,42014.291949596896,0.3918271177252388
2003T3,2003,3,42820.452629087136,0.37625757012380145
2003T4,2003,4,43636.82186180111,0.35964829529343634
2004T1,2004,1,46932.99840607166,0.3685052407045898
2004T2,2004,2,48144.84089299334,0.3726367137713975
2004T3,2004,3,49738.010443829815,0.3862027370172987
2004T4,2004,4,50410.43938897209,0.3757978023497905
2005T1,2005,1,51965.56816736908,0.37766193323510405
2005T2,2005,2,54421.40759775581,0.3741280883995119
2005T3,2005,3,56431.53480591513,0.3697718263035582
2005T4,2005,4,56019.2239039226,0.374519026089613
2006T1,2006,1,59526.587623772415,0.3727090508234426
2006T2,2006,2,60531.53294884653,0.38467060895360355
2006T3,2006,3,63543.45957391741,0.381474675991942
2006T4,2006,4,67227.01361202105,0.3752820159546663
2007T1,2007,1,70252.12169410204,0.3844009172397881
2007T2,2007,2,73105.39363793682,0.3862980247811185
2007T3,2007,3,76583.07429822205,0.3798584663311131
2007T4,2007,4,78295.87009048363,0.3974914587088155
2008T1,2008,1,76670.27143897618,0.4208516298004583
2008T2,2008,2,83416.78558019987,0.3965448191881046
2008T3,2008,3,79499.82555188751,0.4065302848822503
2008T4,2008,4,76319.84875196368,0.4164886466934848
2009T1,2009,1,80496.38106420974,0.4190599926261995
2009T2,2009,2,84203.8811179105,0.39603834351167577
2009T3,2009,3,90493.51307040144,0.3600662605111126
2009T4,2009,4,91094.31220725802,0.339818250267477
2010T1,2010,1,97447.12134072163,0.32450328761522634
2010T2,2010,2,97929.64293224885,0.3332713659181309
2010T3,2010,3,97541.72383141376,0.3045108346635796
2010T4,2010,4,100614.28009085158,0.30366742815598313
2011T1,2011,1,103647.58466526115,0.2945950474403256
2011T2,2011,2,104076.86827038953,0.30430398783631535
2011T3,2011,3,105745.68766161385,0.3254418667531432
2011T4,2011,4,107520.51831320765,0.32733039172653866
2012T1,2012,1,111384.73627679277,0.3150142626427689
2012T2,2012,2,112974.99203508384,0.3281832549318175
2012T3,2012,3,114098.5303942816,0.33347218738874773
2012T4,2012,4,116186.92576469522,0.31927593956062766
2013T1,2013,1,119707.98393565149,0.3180186699970896
2013T2,2013,2,123908.27601829136,0.32643597524194484
2013T3,2013,3,126694.78252439675,0.3234658073915883
2013T4,2013,4,131642.23871695885,0.3171782823132995
2014T1,2014,1,139406.55946445273,0.3266614378786054
2014T2,2014,2,146056.76181251652,0.32033402999019256
2014T3,2014,3,154141.88249984942,0.3180341278756109
2014T4,2014,4,157425.30827464722,0.3244695712529327
2015T1,2015,1,164222.4350267388,0.31548173805807395
2015T2,2015,2,167337.66329706355,0.31216184315259016
2015T3,2015,3,172599.40353555142,0.32286715818766387
2015T4,2015,4,174388.94607267686,0.3234430654833525
2016T1,2016,1,179868.9029955596,0.3281431566055983
2016T2,2016,2,183836.01623941562,0.3239563394547435
2016T3,2016,3,194519.87748182184,0.3219654178774587
2016T4,2016,4,192880.4546763859,0.3246619800761735
2017T1,2017,1,202612.5639099554,0.3192387310174865
2017T2,2017,2,209841.06646464716,0.3178624919287622
2017T3,2017,3,211208.25365753216,0.3182045271515782
2017T4,2017,4,209196.36684665093,0.319559623788891
2018T1,2018,1,216465.84891498223,0.3262078950821255
2018T2,2018,2,221265.72632045473,0.32353374389182094
2018T3,2018,3,227270.9255947629,0.3162239676144043
2018T4,2018,4,227440.66934865073,0.32327001337855094
2019T1,2019,1,239544.9951621618,0.31009875832244993
2019T2,2019,2,252383.19318210066,0.3063200695033797
2019T3,2019,3,269156.2061702965,0.3112217088003066
2019T4,2019,4,269140.3602467593,0.3217087724795696
2020T1,2020,1,258422.2982414331,0.33550676550068764
2020T2,2020,2,280434.94188450003,0.30359107811564107
2020T3,2020,3,271425.5288100677,0.2700091930055477
2020T4,2020,4,267000.2412679583,0.2698844381937621
2021T1,2021,1,267710.7895249381,0.2634989286328648
2021T2,2021,2,254644.6980994945,0.25545947417306253
2021T3,2021,3,256167.0653735501,0.23627072700039756
2021T4,2021,4,260218.89084297942,0.2286042587007789
2022T1,2022,1,247210.39155263087,0.2531722255501178
2022T2,2022,2,260408.49482329044,0.25179551437323056
2022T3,2022,3,257430.18362775567,0.2544305142163296
2022T4,2022,4,264758.55719664285,0.2636162924246321
2023T1,2023,1,264650.6450007308,0.2672709584685938
2023T2,2023,2,270445.09908888175,0.25960291875937563
2023T3,2023,3,276424.30102996714,0.24572314015874294
2023T4,2023,4,287109.69252477796,0.24772933494875551
2024T1,2024,1,304794.7782377461,0.24517482869479432
2024T2,2024,2,304253.0427984164,0.2563867908146078
2024T3,2024,3,323728.9939937511,0.2637014978325108
2024T4,2024,4,329167.3001930215,0.2636882236241634
2025T1,2025,1,330184.4635677922,0.260359309473872
2025T2,2025,2,343902.2134966651,0.25632933169553956
2025T3,2025,3,357783.1090220374,0.2383267217097067
