periodo,año,trimestre,sector_codigo,sector_nombre,activo_red_nbfi_sector,exp_nbfi_en_bancos,ratio_exp_nbfi_bancos
2003T1,2003,1,S123,FMM,1717.4375302070005,1352.4690282730005,0.7874924149992164
2003T2,2003,2,S123,FMM,2239.4746036410015,1912.4813685460015,0.8539866294695349
2003T3,2003,3,S123,FMM,2360.8015866460005,2061.5042565100002,0.8732221581733122
2003T4,2003,4,S123,FMM,2676.071382626,2243.2595129149995,0.8382659474179323
2004T1,2004,1,S123,FMM,3104.942707197999,2552.206629493999,0.8219818754070323
2004T2,2004,2,S123,FMM,3036.1081414979994,2450.9860980569997,0.8072789188752995
2004T3,2004,3,S123,FMM,3180.0738058109996,2659.7213640279997,0.8363709543998157
2004T4,2004,4,S123,FMM,3126.002738071,2783.9209119489997,0.8905689294651441
2005T1,2005,1,S123,FMM,3497.2113270890004,3155.4992217570007,0.9022901182192976
2005T2,2005,2,S123,FMM,3284.7116856049997,2926.6685339399996,0.8909970840868326
2005T3,2005,3,S123,FMM,3274.762835095001,2872.5685750380007,0.8771836983897698
2005T4,2005,4,S123,FMM,3597.0268094340004,3250.1503445450003,0.9035657827238763
2006T1,2006,1,S123,FMM,4274.121181304,3906.311031835,0.9139448476384134
2006T2,2006,2,S123,FMM,4539.602760632999,4157.879836083999,0.9159127032304974
2006T3,2006,3,S123,FMM,4772.103413221001,4375.189626073,0.9168262393374879
2006T4,2006,4,S123,FMM,5044.686499921999,4585.742732241999,0.9090243233772612
2007T1,2007,1,S123,FMM,5425.140442087,5007.462454146,0.9230106589129472
2007T2,2007,2,S123,FMM,5931.227414614999,5486.6293944379995,0.9250411442526253
2007T3,2007,3,S123,FMM,6179.474740801999,5834.243859165,0.944132649437419
2007T4,2007,4,S123,FMM,6119.052163080999,5805.073659135,0.9486883759807813
2008T1,2008,1,S123,FMM,6436.825802016999,5985.781879119999,0.9299275859297507
2008T2,2008,2,S123,FMM,7713.497027172,7161.611093702,0.9284519159693851
2008T3,2008,3,S123,FMM,6718.495579669,6082.094930675999,0.9052763164838825
2008T4,2008,4,S123,FMM,7128.428063012,6417.133905541999,0.9002172496962177
