periodo,año,trimestre,tipo_cuenta,sector_activo_codigo,sector_activo_nombre,sector_pasivo_codigo,sector_pasivo_nombre,instrumento,valor,clasificacion_acreedor,flag_sf_acreedor
2003T1,2003,1,Bce Final,S11,Empresas no financieras,S11,Empresas no financieras,Prestamos,0.54945,Empresas NF,False
2003T1,2003,1,Bce Final,S122,Bancos y cooperativas,S11,Empresas no financieras,Prestamos,18628.00085024403,Bancario,True
2003T1,2003,1,Bce Final,S122,Bancos y cooperativas,S14_S15,Hogares,Prestamos,9011.570400000004,Bancario,True
2003T1,2003,1,Bce Final,S124,Fondos del mercado no monetario,S11,Empresas no financieras,Prestamos,0.0,NBFI,True
2003T1,2003,1,Bce Final,S124,Fondos del mercado no monetario,S14_S15,Hogares,Prestamos,34.10881,NBFI,True
2003T1,2003,1,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S11,Empresas no financieras,Prestamos,498.1700693012902,NBFI,True
2003T1,2003,1,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S14_S15,Hogares,Prestamos,546.50298,NBFI,True
2003T1,2003,1,Bce Final,S128,Compañías de seguro,S11,Empresas no financieras,Prestamos,301.97401,NBFI,True
2003T1,2003,1,Bce Final,S128,Compañías de seguro,S14_S15,Hogares,Prestamos,1010.12875,NBFI,True
2003T1,2003,1,Bce Final,S13,Gobierno general,S11,Empresas no financieras,Prestamos,505.93708,Gobierno,False
2003T1,2003,1,Bce Final,S13,Gobierno general,S14_S15,Hogares,Prestamos,749.7467450051901,Gobierno,False
2003T1,2003,1,Bce Final,S2,Resto del mundo,S11,Empresas no financieras,Prestamos,15906.546877507002,Resto del mundo,False
2003T1,2003,1,Bce Final,S11,Empresas no financieras,S11,Empresas no financieras,Titulos deuda,215.0888374395544,Empresas NF,False
2003T1,2003,1,Bce Final,S122,Bancos y cooperativas,S11,Empresas no financieras,Titulos deuda,172.7023610947155,Bancario,True
2003T1,2003,1,Bce Final,S123,Fondos del mercado monetario,S11,Empresas no financieras,Titulos deuda,27.340464121999986,NBFI,True
2003T1,2003,1,Bce Final,S124,Fondos del mercado no monetario,S11,Empresas no financieras,Titulos deuda,282.86304852121833,NBFI,True
2003T1,2003,1,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S11,Empresas no financieras,Titulos deuda,18.220637938795463,NBFI,True
2003T1,2003,1,Bce Final,S128,Compañías de seguro,S11,Empresas no financieras,Titulos deuda,1905.9846398946797,NBFI,True
2003T1,2003,1,Bce Final,S129,Fondo de pensiones,S11,Empresas no financieras,Titulos deuda,1652.025596020333,NBFI,True
2003T1,2003,1,Bce Final,S13,Gobierno general,S11,Empresas no financieras,Titulos deuda,13.989577552999991,Gobierno,False
2003T1,2003,1,Bce Final,S14_S15,Hogares,S11,Empresas no financieras,Titulos deuda,2.1555751579332645,Hogares,False
2003T1,2003,1,Bce Final,S2,Resto del mundo,S11,Empresas no financieras,Titulos deuda,4085.234795482,Resto del mundo,False
2003T2,2003,2,Bce Final,S11,Empresas no financieras,S11,Empresas no financieras,Prestamos,0.57274,Empresas NF,False
2003T2,2003,2,Bce Final,S122,Bancos y cooperativas,S11,Empresas no financieras,Prestamos,18429.675599233007,Bancario,True
2003T2,2003,2,Bce Final,S122,Bancos y cooperativas,S14_S15,Hogares,Prestamos,9299.808920000003,Bancario,True
2003T2,2003,2,Bce Final,S124,Fondos del mercado no monetario,S11,Empresas no financieras,Prestamos,0.0,NBFI,True
2003T2,2003,2,Bce Final,S124,Fondos del mercado no monetario,S14_S15,Hogares,Prestamos,34.63061999999999,NBFI,True
2003T2,2003,2,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S11,Empresas no financieras,Prestamos,532.8649589475616,NBFI,True
2003T2,2003,2,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S14_S15,Hogares,Prestamos,561.8069300000001,NBFI,True
2003T2,2003,2,Bce Final,S128,Compañías de seguro,S11,Empresas no financieras,Prestamos,318.86936999999995,NBFI,True
2003T2,2003,2,Bce Final,S128,Compañías de seguro,S14_S15,Hogares,Prestamos,1037.16138,NBFI,True
2003T2,2003,2,Bce Final,S13,Gobierno general,S11,Empresas no financieras,Prestamos,508.77031,Gobierno,False
2003T2,2003,2,Bce Final,S13,Gobierno general,S14_S15,Hogares,Prestamos,759.58277000519,Gobierno,False
