periodo,sector_codigo,exposicion_pasivo,ASF_t,IS_pasivo,exposicion_activo,IS_activo,activo_red_nbfi_sector,exp_nbfi_en_bancos,ratio_exp_nbfi_bancos,activo_bancos_red,exp_bancos_en_nbfi,ratio_exp_bancos_nbfi,activo_nbfi_red_total,ratio_exp_nbfi_bancos_agg,sector_nombre,año,trimestre
2003T1,S11,23487.28167713706,154413.0895,0.15210680489063758,6720.848515174761,0.043525121716930355,,,,,,,40002.255310688444,0.4035573529819845,Empresas no financieras,2003,1
2003T2,S11,23571.200090545273,157855.7252,0.14932116057672942,6605.148972566179,0.04184294845307378,,,,,,,42014.291949596896,0.3918271177252388,Empresas no financieras,2003,2
2003T3,S11,23769.110757540886,160945.5228,0.14768419987101924,6872.833147283118,0.04270285390804992,,,,,,,42820.452629087136,0.37625757012380145,Empresas no financieras,2003,3
2003T4,S11,24263.91654763337,161389.8936,0.15034346950974983,7141.1602177140285,0.044247877351063745,,,,,,,43636.82186180111,0.35964829529343634,Empresas no financieras,2003,4
2004T1,S11,24193.00390102886,165855.7481,0.145867744580321,7584.193786990112,0.04572765112980798,,,,,,,46932.99840607166,0.3685052407045898,Empresas no financieras,2004,1
2004T2,S11,24853.869185761636,171341.6627,0.14505444148326008,7871.8817918069135,0.045942601862045046,,,,,,,48144.84089299334,0.3726367137713975,Empresas no financieras,2004,2
2004T3,S11,25914.650275142,175960.0148,0.14727579049477324,8106.656657380129,0.04607101600096097,,,,,,,49738.010443829815,0.3862027370172987,Empresas no financieras,2004,3
2004T4,S11,26412.596516923335,179449.8467,0.14718650922605295,9362.769338571396,0.052174852811236176,,,,,,,50410.43938897209,0.3757978023497905,Empresas no financieras,2004,4
2005T1,S11,26917.646416003576,183872.2285,0.14639321356788568,9523.332463668621,0.051793207388404615,,,,,,,51965.56816736908,0.37766193323510405,Empresas no financieras,2005,1
2005T2,S11,28154.568656949883,190509.20010000002,0.14778587407942131,9774.689722801053,0.05130822930163073,,,,,,,54421.40759775581,0.3741280883995119,Empresas no financieras,2005,2
2005T3,S11,29085.06020821711,193945.69350000002,0.1499649705200446,9453.090085126645,0.048740912543781975,,,,,,,56431.53480591513,0.3697718263035582,Empresas no financieras,2005,3
2005T4,S11,30007.674082107682,195526.41389999999,0.15347120362701894,11326.388605307915,0.0579276650115451,,,,,,,56019.2239039226,0.374519026089613,Empresas no financieras,2005,4
2006T1,S11,30791.01403041433,203963.3026,0.15096349999195557,11598.658969351489,0.056866401070677156,,,,,,,59526.587623772415,0.3727090508234426,Empresas no financieras,2006,1
2006T2,S11,31733.176233059814,209238.9015,0.15166002117947372,12566.338441815808,0.060057371510411066,,,,,,,60531.53294884653,0.38467060895360355,Empresas no financieras,2006,2
2006T3,S11,33226.52689068535,217013.5702,0.15310806075428252,13163.390219468949,0.060656991207220595,,,,,,,63543.45957391741,0.381474675991942,Empresas no financieras,2006,3
2006T4,S11,34815.93758852142,227218.4461,0.15322672162452314,14740.428404567812,0.06487337915373506,,,,,,,67227.01361202105,0.3752820159546663,Empresas no financieras,2006,4
2007T1,S11,36459.14304776032,233116.8507,0.1563985740982744,15636.519119717803,0.06707588521706896,,,,,,,70252.12169410204,0.3844009172397881,Empresas no financieras,2007,1
2007T2,S11,37722.264311647225,248421.89779999998,0.15184758125476017,16708.403213964302,0.06725817394493919,,,,,,,73105.39363793682,0.3862980247811185,Empresas no financieras,2007,2
2007T3,S11,39679.171814035835,252182.82760000002,0.15734287775126776,17110.29889030886,0.06784878674391094,,,,,,,76583.07429822205,0.3798584663311131,Empresas no financieras,2007,3
2007T4,S11,41919.62473980334,256977.5522,0.16312562860423782,19553.42305670579,0.07609000431869546,,,,,,,78295.87009048363,0.3974914587088155,Empresas no financieras,2007,4
2008T1,S11,43191.643545786574,249913.785,0.17282617501786296,17684.722180895555,0.07076329215251394,,,,,,,76670.27143897618,0.4208516298004583,Empresas no financieras,2008,1
2008T2,S11,45881.990249442235,268607.7558,0.17081409325948524,19862.56828770885,0.07394636922732092,,,,,,,83416.78558019987,0.3965448191881046,Empresas no financieras,2008,2
2008T3,S11,48346.226727991605,272851.6523,0.17718868960644957,20465.748650201764,0.07500687086805581,,,,,,,79499.82555188751,0.4065302848822503,Empresas no financieras,2008,3
2008T4,S11,51185.008786847866,279484.73620000004,0.18314062328691802,22769.24162956495,0.08146864096818231,,,,,,,76319.84875196368,0.4164886466934848,Empresas no financieras,2008,4
2009T1,S11,50114.2341953256,277215.8849,0.18077692125544426,21429.38604404642,0.07730215767316738,,,,,,,80496.38106420974,0.4190599926261995,Empresas no financieras,2009,1
2009T2,S11,48954.38297111729,284933.7733,0.17180968898191784,21780.795144575255,0.07644160568372768,,,,,,,84203.8811179105,0.39603834351167577,Empresas no financieras,2009,2
2009T3,S11,48991.073445147216,301371.6477,0.16256032649068342,24138.161940429243,0.08009433576332152,,,,,,,90493.51307040144,0.3600662605111126,Empresas no financieras,2009,3
2009T4,S11,50416.16389271142,309315.4826,0.16299269428394084,26154.618510146207,0.08455644796794341,,,,,,,91094.31220725802,0.339818250267477,Empresas no financieras,2009,4
2010T1,S11,50936.012454965596,323093.6915,0.1576509037316366,26176.80653269716,0.08101924370967534,,,,,,,97447.12134072163,0.32450328761522634,Empresas no financieras,2010,1
2010T2,S11,52539.91553588543,327731.2393,0.16031402941051714,27998.206377277147,0.0854303863039679,,,,,,,97929.64293224885,0.3332713659181309,Empresas no financieras,2010,2
2010T3,S11,52706.29981467348,334492.4165,0.15757098581238982,30588.8243995029,0.0914484840032327,,,,,,,97541.72383141376,0.3045108346635796,Empresas no financieras,2010,3
2010T4,S11,53682.81926162059,342180.5544,0.15688448268415275,31773.667130575148,0.09285643711194813,,,,,,,100614.28009085158,0.30366742815598313,Empresas no financieras,2010,4
2011T1,S11,55456.226318435605,350647.5023,0.15815377538605557,32198.30233660428,0.09182527217620588,,,,,,,103647.58466526115,0.2945950474403256,Empresas no financieras,2011,1
2011T2,S11,57844.47404642178,357700.7884,0.16171189978406483,32708.76072730844,0.09144167915764213,,,,,,,104076.86827038953,0.30430398783631535,Empresas no financieras,2011,2
2011T3,S11,60786.442108974574,360307.9322,0.1687069217094926,31466.11984867547,0.08733118823265104,,,,,,,105745.68766161385,0.3254418667531432,Empresas no financieras,2011,3
2011T4,S11,62315.142046429224,381675.8276,0.16326719572017565,34450.155100839285,0.09026024864467808,,,,,,,107520.51831320765,0.32733039172653866,Empresas no financieras,2011,4
2012T1,S11,62665.655744654956,386644.50789999997,0.1620756391575657,33453.89642658727,0.08652365607955212,,,,,,,111384.73627679277,0.3150142626427689,Empresas no financieras,2012,1
2012T2,S11,64996.052327014,399497.9201,0.1626943447183519,34293.34125445002,0.08584110086446985,,,,,,,112974.99203508384,0.3281832549318175,Empresas no financieras,2012,2
2012T3,S11,65155.04506824078,398108.42240000004,0.16366155901815146,33974.40411533832,0.08533957636596416,,,,,,,114098.5303942816,0.33347218738874773,Empresas no financieras,2012,3
2012T4,S11,67969.6584695334,415275.7475,0.1636735563748119,37532.107480782164,0.09037876087570504,,,,,,,116186.92576469522,0.31927593956062766,Empresas no financieras,2012,4
2013T1,S11,68314.10224841817,421005.26149999996,0.1622642482068319,35923.48679197157,0.08532788085350704,,,,,,,119707.98393565149,0.3180186699970896,Empresas no financieras,2013,1
2013T2,S11,70756.11767249383,430143.6134,0.16449417233749827,37002.93436337806,0.08602460483115024,,,,,,,123908.27601829136,0.32643597524194484,Empresas no financieras,2013,2
2013T3,S11,72582.15171212568,439241.23610000004,0.16524439361973117,37046.86770349951,0.08434287279681825,,,,,,,126694.78252439675,0.3234658073915883,Empresas no financieras,2013,3
2013T4,S11,74507.22423075393,455310.31919999997,0.16364053501283776,39066.57251879693,0.08580208018882286,,,,,,,131642.23871695885,0.3171782823132995,Empresas no financieras,2013,4
