periodo,año,trimestre,tipo_cuenta,sector_activo_codigo,sector_activo_nombre,sector_pasivo_codigo,sector_pasivo_nombre,instrumento,valor
2003T1,2003,1,Financiera,S11,Empresas no financieras,S123,Fondos del mercado monetario,Cuotas FMM,-329.1192412673139
2003T1,2003,1,Financiera,S122,Bancos y cooperativas,S123,Fondos del mercado monetario,Cuotas FMM,-40.483967215182034
2003T1,2003,1,Financiera,S123,Fondos del mercado monetario,S2,Resto del mundo,Cuotas FMM,0.198001135
2003T1,2003,1,Financiera,S124,Fondos del mercado no monetario,S123,Fondos del mercado monetario,Cuotas FMM,0.0622768833598217
2003T1,2003,1,Financiera,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S123,Fondos del mercado monetario,Cuotas FMM,-82.96858265559985
2003T1,2003,1,Financiera,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S2,Resto del mundo,Cuotas FMM,-4.447457099999999
2003T1,2003,1,Financiera,S128,Compañías de seguro,S123,Fondos del mercado monetario,Cuotas FMM,2.3519702477042013
2003T1,2003,1,Financiera,S128,Compañías de seguro,S2,Resto del mundo,Cuotas FMM,0.46622
2003T1,2003,1,Financiera,S13,Gobierno general,S123,Fondos del mercado monetario,Cuotas FMM,0.4067728775158056
2003T1,2003,1,Financiera,S14_S15,Hogares,S123,Fondos del mercado monetario,Cuotas FMM,-374.5925148424837
2003T1,2003,1,Financiera,S2,Resto del mundo,S123,Fondos del mercado monetario,Cuotas FMM,-38.847387940999994
2003T1,2003,1,Financiera,S2,Resto del mundo,S124,Fondos del mercado no monetario,Cuotas FMM,-7.275957614183426e-15
2003T1,2003,1,Financiera,S11,Empresas no financieras,S124,Fondos del mercado no monetario,Cuotas FNM,122.97749577154858
2003T1,2003,1,Financiera,S123,Fondos del mercado monetario,S2,Resto del mundo,Cuotas FNM,0.02369466
2003T1,2003,1,Financiera,S124,Fondos del mercado no monetario,S124,Fondos del mercado no monetario,Cuotas FNM,0.00555
2003T1,2003,1,Financiera,S124,Fondos del mercado no monetario,S2,Resto del mundo,Cuotas FNM,-0.8201653510000001
2003T1,2003,1,Financiera,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S124,Fondos del mercado no monetario,Cuotas FNM,-60.793382017538754
2003T1,2003,1,Financiera,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S2,Resto del mundo,Cuotas FNM,-5.651629600000001
2003T1,2003,1,Financiera,S128,Compañías de seguro,S124,Fondos del mercado no monetario,Cuotas FNM,-12.015851560553944
2003T1,2003,1,Financiera,S128,Compañías de seguro,S2,Resto del mundo,Cuotas FNM,-15.26665
2003T1,2003,1,Financiera,S129,Fondo de pensiones,S124,Fondos del mercado no monetario,Cuotas FNM,3.06377999726712
2003T1,2003,1,Financiera,S129,Fondo de pensiones,S2,Resto del mundo,Cuotas FNM,273.78833000000003
2003T1,2003,1,Financiera,S14_S15,Hogares,S124,Fondos del mercado no monetario,Cuotas FNM,46.26630839927701
2003T1,2003,1,Financiera,S2,Resto del mundo,S124,Fondos del mercado no monetario,Cuotas FNM,3.105789124999998
2003T1,2003,1,Financiera,S11,Empresas no financieras,S122,Bancos y cooperativas,Depositos,56.60973954233066
2003T1,2003,1,Financiera,S11,Empresas no financieras,S2,Resto del mundo,Depositos,248.05467062039997
2003T1,2003,1,Financiera,S121,Banco Central,S2,Resto del mundo,Depositos,682.138487936
2003T1,2003,1,Financiera,S122,Bancos y cooperativas,S121,Banco Central,Depositos,51.31892999999999
2003T1,2003,1,Financiera,S122,Bancos y cooperativas,S122,Bancos y cooperativas,Depositos,503.58063999999996
2003T1,2003,1,Financiera,S122,Bancos y cooperativas,S2,Resto del mundo,Depositos,-228.768605369
2003T1,2003,1,Financiera,S123,Fondos del mercado monetario,S122,Bancos y cooperativas,Depositos,-828.615629285
2003T1,2003,1,Financiera,S124,Fondos del mercado no monetario,S122,Bancos y cooperativas,Depositos,-9.935831246000001
2003T1,2003,1,Financiera,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S122,Bancos y cooperativas,Depositos,-98.90097649832998
2003T1,2003,1,Financiera,S128,Compañías de seguro,S122,Bancos y cooperativas,Depositos,7.602445
2003T1,2003,1,Financiera,S129,Fondo de pensiones,S122,Bancos y cooperativas,Depositos,-53.24656999999999
2003T1,2003,1,Financiera,S129,Fondo de pensiones,S2,Resto del mundo,Depositos,-1.1368683772161603e-15
2003T1,2003,1,Financiera,S13,Gobierno general,S121,Banco Central,Depositos,572.1599000000001
2003T1,2003,1,Financiera,S13,Gobierno general,S122,Bancos y cooperativas,Depositos,176.39816793499853
2003T1,2003,1,Financiera,S13,Gobierno general,S2,Resto del mundo,Depositos,0.0
2003T1,2003,1,Financiera,S14_S15,Hogares,S122,Bancos y cooperativas,Depositos,649.3395799999997
2003T1,2003,1,Financiera,S14_S15,Hogares,S125_S126,Otros intermediarios financieros y Auxiliares financieros,Depositos,0.03857
2003T1,2003,1,Financiera,S14_S15,Hogares,S2,Resto del mundo,Depositos,21.599651825600006
2003T1,2003,1,Financiera,S2,Resto del mundo,S121,Banco Central,Depositos,3.5547400000000042
2003T1,2003,1,Financiera,S2,Resto del mundo,S122,Bancos y cooperativas,Depositos,4.688404552
2003T1,2003,1,Financiera,S11,Empresas no financieras,S121,Banco Central,Dinero legal,3.7904205
2003T1,2003,1,Financiera,S121,Banco Central,S2,Resto del mundo,Dinero legal,-0.01852
2003T1,2003,1,Financiera,S122,Bancos y cooperativas,S121,Banco Central,Dinero legal,-10.618
2003T1,2003,1,Financiera,S122,Bancos y cooperativas,S2,Resto del mundo,Dinero legal,-6.22688
2003T1,2003,1,Financiera,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S121,Banco Central,Dinero legal,-0.8634381
2003T1,2003,1,Financiera,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S2,Resto del mundo,Dinero legal,-0.7841407
2003T1,2003,1,Financiera,S128,Compañías de seguro,S121,Banco Central,Dinero legal,-2.87599
2003T1,2003,1,Financiera,S13,Gobierno general,S121,Banco Central,Dinero legal,-35.248367525
2003T1,2003,1,Financiera,S14_S15,Hogares,S121,Banco Central,Dinero legal,-31.625174875000027
2003T1,2003,1,Financiera,S11,Empresas no financieras,S11,Empresas no financieras,Prestamos,-0.00233
2003T1,2003,1,Financiera,S11,Empresas no financieras,S122,Bancos y cooperativas,Prestamos,0.0
2003T1,2003,1,Financiera,S11,Empresas no financieras,S2,Resto del mundo,Prestamos,143.79649679
2003T1,2003,1,Financiera,S121,Banco Central,S122,Bancos y cooperativas,Prestamos,-198.15116999999998
2003T1,2003,1,Financiera,S121,Banco Central,S125_S126,Otros intermediarios financieros y Auxiliares financieros,Prestamos,9.930530000000001
2003T1,2003,1,Financiera,S121,Banco Central,S13,Gobierno general,Prestamos,22.48211
2003T1,2003,1,Financiera,S121,Banco Central,S2,Resto del mundo,Prestamos,-2.6309
2003T1,2003,1,Financiera,S122,Bancos y cooperativas,S11,Empresas no financieras,Prestamos,-74.98946098030568
2003T1,2003,1,Financiera,S122,Bancos y cooperativas,S122,Bancos y cooperativas,Prestamos,150.132922411
2003T1,2003,1,Financiera,S122,Bancos y cooperativas,S124,Fondos del mercado no monetario,Prestamos,6.33792
2003T1,2003,1,Financiera,S122,Bancos y cooperativas,S125_S126,Otros intermediarios financieros y Auxiliares financieros,Prestamos,92.61754239429881
2003T1,2003,1,Financiera,S122,Bancos y cooperativas,S128,Compañías de seguro,Prestamos,-13.995810484
2003T1,2003,1,Financiera,S122,Bancos y cooperativas,S13,Gobierno general,Prestamos,0.4156950000070006
2003T1,2003,1,Financiera,S122,Bancos y cooperativas,S14_S15,Hogares,Prestamos,356.57532
2003T1,2003,1,Financiera,S122,Bancos y cooperativas,S2,Resto del mundo,Prestamos,-40.471568341
2003T1,2003,1,Financiera,S124,Fondos del mercado no monetario,S14_S15,Hogares,Prestamos,-4.928109999999999
2003T1,2003,1,Financiera,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S11,Empresas no financieras,Prestamos,26.153196949829287
2003T1,2003,1,Financiera,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S125_S126,Otros intermediarios financieros y Auxiliares financieros,Prestamos,0.0
2003T1,2003,1,Financiera,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S14_S15,Hogares,Prestamos,23.723860000000002
2003T1,2003,1,Financiera,S128,Compañías de seguro,S11,Empresas no financieras,Prestamos,7.58996
2003T1,2003,1,Financiera,S128,Compañías de seguro,S125_S126,Otros intermediarios financieros y Auxiliares financieros,Prestamos,0.0
2003T1,2003,1,Financiera,S128,Compañías de seguro,S14_S15,Hogares,Prestamos,10.689519999999998
2003T1,2003,1,Financiera,S13,Gobierno general,S11,Empresas no financieras,Prestamos,-4.358209999999999
2003T1,2003,1,Financiera,S13,Gobierno general,S121,Banco Central,Prestamos,0.73339
2003T1,2003,1,Financiera,S13,Gobierno general,S122,Bancos y cooperativas,Prestamos,-57.62378
2003T1,2003,1,Financiera,S13,Gobierno general,S14_S15,Hogares,Prestamos,29.981695000029998
2003T1,2003,1,Financiera,S2,Resto del mundo,S11,Empresas no financieras,Prestamos,-28.53207566599997
2003T1,2003,1,Financiera,S2,Resto del mundo,S121,Banco Central,Prestamos,-1.8926700000000003
2003T1,2003,1,Financiera,S2,Resto del mundo,S122,Bancos y cooperativas,Prestamos,156.811534646
2003T1,2003,1,Financiera,S2,Resto del mundo,S125_S126,Otros intermediarios financieros y Auxiliares financieros,Prestamos,29.610183269000007
2003T1,2003,1,Financiera,S2,Resto del mundo,S128,Compañías de seguro,Prestamos,0.002590484
2003T1,2003,1,Financiera,S2,Resto del mundo,S13,Gobierno general,Prestamos,-15.476306907000001
2003T1,2003,1,Financiera,S11,Empresas no financieras,S11,Empresas no financieras,Titulos deuda,-29.187090383068156
2003T1,2003,1,Financiera,S11,Empresas no financieras,S121,Banco Central,Titulos deuda,-323.74700800811536
2003T1,2003,1,Financiera,S11,Empresas no financieras,S122,Bancos y cooperativas,Titulos deuda,-24.306273449090902
2003T1,2003,1,Financiera,S11,Empresas no financieras,S125_S126,Otros intermediarios financieros y Auxiliares financieros,Titulos deuda,18.5854554708979
2003T1,2003,1,Financiera,S11,Empresas no financieras,S13,Gobierno general,Titulos deuda,-32.79303582799994
