periodo,año,trimestre,tipo_cuenta,sector_activo_codigo,sector_activo_nombre,sector_pasivo_codigo,sector_pasivo_nombre,instrumento,valor
2003T1,2003,1,Bce Final,S11,Empresas no financieras,S123,Fondos del mercado monetario,Cuotas FMM,449.01243036999733
2003T1,2003,1,Bce Final,S122,Bancos y cooperativas,S123,Fondos del mercado monetario,Cuotas FMM,21.203420000000012
2003T1,2003,1,Bce Final,S123,Fondos del mercado monetario,S2,Resto del mundo,Cuotas FMM,0.2758579999999995
2003T1,2003,1,Bce Final,S124,Fondos del mercado no monetario,S123,Fondos del mercado monetario,Cuotas FMM,1.251920000000001
2003T1,2003,1,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S123,Fondos del mercado monetario,Cuotas FMM,391.348434700003
2003T1,2003,1,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S2,Resto del mundo,Cuotas FMM,16.185335199999997
2003T1,2003,1,Bce Final,S128,Compañías de seguro,S123,Fondos del mercado monetario,Cuotas FMM,21.34311000000001
2003T1,2003,1,Bce Final,S128,Compañías de seguro,S2,Resto del mundo,Cuotas FMM,4.068090000000001
2003T1,2003,1,Bce Final,S13,Gobierno general,S123,Fondos del mercado monetario,Cuotas FMM,4.538534503
2003T1,2003,1,Bce Final,S13,Gobierno general,S2,Resto del mundo,Cuotas FMM,-9.999999974752428e-10
2003T1,2003,1,Bce Final,S14_S15,Hogares,S123,Fondos del mercado monetario,Cuotas FMM,740.1671424380005
2003T1,2003,1,Bce Final,S2,Resto del mundo,S123,Fondos del mercado monetario,Cuotas FMM,76.75280067100003
2003T1,2003,1,Bce Final,S2,Resto del mundo,S124,Fondos del mercado no monetario,Cuotas FMM,-3.04680725093931e-14
2003T1,2003,1,Bce Final,S11,Empresas no financieras,S124,Fondos del mercado no monetario,Cuotas FNM,254.45246213600035
2003T1,2003,1,Bce Final,S123,Fondos del mercado monetario,S2,Resto del mundo,Cuotas FNM,0.0649120000000002
2003T1,2003,1,Bce Final,S124,Fondos del mercado no monetario,S124,Fondos del mercado no monetario,Cuotas FNM,0.15888999999999684
2003T1,2003,1,Bce Final,S124,Fondos del mercado no monetario,S2,Resto del mundo,Cuotas FNM,42.365633519999975
