periodo,año,trimestre,sector_codigo,sector_nombre,A_notional_nominal_total,A_notional_real_total
2003T1,2003,1,S11,Empresas no financieras,14573.495145130704,0.8683175924790096
2003T2,2003,2,S11,Empresas no financieras,14721.169481847255,0.8770249751531153
2003T3,2003,3,S11,Empresas no financieras,14873.277960503348,0.8860010290522347
2003T4,2003,4,S11,Empresas no financieras,15570.113063922843,0.9271851368193442
2004T1,2004,1,S11,Empresas no financieras,16381.465162141792,0.9754201276354252
2004T2,2004,2,S11,Empresas no financieras,17018.202917273713,1.0128423801329005
2004T3,2004,3,S11,Empresas no financieras,17548.977556146812,1.0437179214912973
2004T4,2004,4,S11,Empresas no financieras,19915.670183020862,1.1803862701346315
2005T1,2005,1,S11,Empresas no financieras,20367.405322364164,1.2066518040471128
2005T2,2005,2,S11,Empresas no financieras,20419.350121820582,1.2096219027909936
2005T3,2005,3,S11,Empresas no financieras,20802.341472950473,1.231238386727263
2005T4,2005,4,S11,Empresas no financieras,22383.42753489498,1.3191995981083293
2006T1,2006,1,S11,Empresas no financieras,23013.239361130487,1.3543538612633292
2006T2,2006,2,S11,Empresas no financieras,23448.84182203984,1.378352145743279
2006T3,2006,3,S11,Empresas no financieras,24436.674659411132,1.4320353577909657
2006T4,2006,4,S11,Empresas no financieras,26044.824967885645,1.5197380727474898
2007T1,2007,1,S11,Empresas no financieras,26666.732363929576,1.5535871127254537
2007T2,2007,2,S11,Empresas no financieras,27499.82792001455,1.5983190688923583
2007T3,2007,3,S11,Empresas no financieras,28362.824055925194,1.6433161404672543
2007T4,2007,4,S11,Empresas no financieras,31061.082932799913,1.780823434426112
2008T1,2008,1,S11,Empresas no financieras,30385.256239093862,1.74672956781544
2008T2,2008,2,S11,Empresas no financieras,31373.274789465864,1.7955140786474224
2008T3,2008,3,S11,Empresas no financieras,31779.911550241,1.8148884913344254
2008T4,2008,4,S11,Empresas no financieras,33068.060327894265,1.8749348530362295
2009T1,2009,1,S11,Empresas no financieras,33354.495866044046,1.8886008206565699
2009T2,2009,2,S11,Empresas no financieras,33085.207588536214,1.8757365384121623
2009T3,2009,3,S11,Empresas no financieras,35586.264468624184,1.995780834282126
2009T4,2009,4,S11,Empresas no financieras,38675.08153185087,2.143268527628346
2010T1,2010,1,S11,Empresas no financieras,39559.47004393659,2.1853852345241522
2010T2,2010,2,S11,Empresas no financieras,40222.705420571096,2.216666734929512
2010T3,2010,3,S11,Empresas no financieras,44284.22238612815,2.4069909555855227
2010T4,2010,4,S11,Empresas no financieras,46281.53678398858,2.5000817594968847
2011T1,2011,1,S11,Empresas no financieras,48615.605271466164,2.608249354450212
2011T2,2011,2,S11,Empresas no financieras,48256.47925500149,2.5918433324709023
2011T3,2011,3,S11,Empresas no financieras,46062.35638118888,2.492167969132182
2011T4,2011,4,S11,Empresas no financieras,52830.91432641508,2.795772025699173
2012T1,2012,1,S11,Empresas no financieras,53196.91508915177,2.8120145357536073
2012T2,2012,2,S11,Empresas no financieras,54299.127404257255,2.860726021101677
2012T3,2012,3,S11,Empresas no financieras,56381.49512222511,2.9529026892055428
2012T4,2012,4,S11,Empresas no financieras,61081.27754114925,3.1586657407219834
2013T1,2013,1,S11,Empresas no financieras,60917.722100743915,3.1515140190572364
2013T2,2013,2,S11,Empresas no financieras,58372.618340306035,3.0401439358049123
2013T3,2013,3,S11,Empresas no financieras,58918.57618758744,3.063787655781087
2013T4,2013,4,S11,Empresas no financieras,60234.858480098665,3.120257288520238
2014T1,2014,1,S11,Empresas no financieras,58096.45067349244,3.0296735411521425
2014T2,2014,2,S11,Empresas no financieras,60059.35042793752,3.1113806515508324
