periodo,año,trimestre,pas_prestamos_cp,pas_prestamos_lp,pas_prestamos_total,pas_depositos_vista,pas_depositos_otros,pas_depositos_total,pas_total,cap_nec_financiamiento,sector_codigo,sector_nombre,act_titulos_cp,act_titulos_lp,act_titulos_total,act_prestamos_cp,act_prestamos_lp,act_prestamos_total,act_cuotas_fmm,act_cuotas_fnm,act_depositos_vista,act_depositos_otros,pas_titulos_cp,pas_titulos_lp,pas_titulos_total,act_titulos_total_calc,act_prestamos_total_calc,act_depositos_total_calc,pas_titulos_total_calc,pas_prestamos_total_calc,pas_depositos_total_calc,act_credito_intermediado,act_sin_acciones
2003T1,2003,1,-3.5741,2.4149,-1.1593,10.4216,539.1714,549.593,623.5662,-54.6615,S121,Banco Central,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1.1592000000000002,549.593,0.0,0.0
2003T1,2003,1,11.53,39.64,51.17,378.78,28.74,407.52,831.45,99.93,S122,Bancos y cooperativas,32.12,298.95,331.07,132.71,343.91,476.62,-40.48,0.0,-153.92,463.21,0.0,-22.38,-22.38,331.07,476.62,309.28999999999996,-22.38,51.17,407.52,807.69,1076.5
2003T1,2003,1,,,,,,,-871.7584,0.0,S123,Fondos mercado monetario,-82.8753,41.9624,-40.9129,,,,0.198,0.02369466,-5.9974,-822.6182,,,,-40.91289999999999,0.0,-828.6156,0.0,0.0,0.0,-40.91289999999999,-869.30680534
2003T1,2003,1,,,,,,,114.409,-1.0335,S124,Fondos mercado no monetario,5.5037,53.5966,59.1003,0.0,-4.9281,-4.9281,0.0623,-0.8146,5.273,-15.2088,,,,59.100300000000004,-4.9281,-9.9358,0.0,0.0,0.0,54.172200000000004,43.484100000000005
2003T1,2003,1,36.996,95.1622,132.1583,,,0.0386,2091.9393,-94.979,S125_S126,Otros intermediarios y auxiliares,1.9919,2.6492,4.6411,5.1601,44.7169,49.8771,-87.416,-66.445,-63.6653,-36.8833,68.162,66.9504,135.1123,4.6411,49.877,-100.5486,135.1124,132.1582,0.0,54.518100000000004,-199.89149999999998
2003T1,2003,1,,,,,,,,,S128,Compañías de seguros,-0.4138,115.9085,,,,,,,-1.0681,5.7945,,,,115.49470000000001,0.0,4.7264,0.0,0.0,0.0,115.49470000000001,120.2211
2003T1,2003,1,,,,,,,491.7766,0.0,S129,Fondos de pensiones,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003T1,2003,1,0.0032,,7.4215,,,0.0,,276.5038,S13,Gobierno general,0.0,4.3854,,,,,,,646.8438,66.4659,0.0,694.3381,694.3381,4.3854,0.0,713.3097,694.3381,0.0032,0.0,4.3854,717.6951
2003T1,2003,1,11.387,-85.5259,-74.1389,,,,3526.7253,-921.7606,S11,Empresas no financieras,-93.5912,-270.6577,-364.2489,-0.0023,143.7965,143.7942,-329.1192,122.9775,-258.9447,567.3995,0.2882,67.1099,67.3981,-364.2489,143.79420000000002,308.4548,67.3981,-74.13889999999999,0.0,-220.45469999999997,-118.14159999999997
2003T1,2003,1,66.2761,349.7662,416.0423,,,,446.8085,866.0781,S14_S15,Hogares e IPSFLSH,6.7617,0.0,6.7617,,,,-374.5925,46.2663,-50.2874,689.64,,,,6.7617,0.0,639.3525999999999,0.0,416.0423,0.0,6.7617,317.7881
2003T1,2003,1,,,,,,,1694.1073,-148.5927,S2,Resto del mundo,0.0,709.9195,,95.3726,45.1506,140.5233,-38.8474,3.1058,6.9031,1.34,,,,709.9195,140.5232,8.2431,0.0,0.0,0.0,850.4427,822.9442
2003T2,2003,2,-1.8959,1.9116,0.0156,-420.1044,-723.0635,-1143.1679,-983.0026,-53.3611,S121,Banco Central,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.015700000000000047,-1143.1679,0.0,0.0
2003T2,2003,2,-2.84,67.0,64.16,-28.35,-192.51,-220.86,333.86,-92.37,S122,Bancos y cooperativas,45.25,-27.2,18.05,-81.56,595.46,513.9,21.15,0.0,-162.83,-192.28,0.0,151.54,151.54,18.05,513.9000000000001,-355.11,151.54,64.16,-220.85999999999999,531.95,197.99000000000004
2003T2,2003,2,,,,,,,521.4957,0.0,S123,Fondos mercado monetario,-107.1463,54.3298,-52.8165,,,,0.2154,0.04656786,3.6295,568.7687,,,,-52.8165,0.0,572.3982,0.0,0.0,0.0,-52.8165,519.84366786
2003T2,2003,2,,,,,,,86.9468,-5.5524,S124,Fondos mercado no monetario,-6.179,138.8025,132.6236,0.0,0.5725,0.5725,-0.0978,3.0332,-14.4947,-135.1653,,,,132.6235,0.5725,-149.66,0.0,0.0,0.0,133.196,-13.528599999999997
2003T2,2003,2,5.9074,37.1862,43.0936,,,0.039,1010.3828,-155.8664,S125_S126,Otros intermediarios y auxiliares,2.1645,8.1478,10.3122,-25.1999,75.9033,50.7034,53.8983,59.5103,271.3927,41.6166,5.4554,62.9757,68.4311,10.3123,50.7034,313.0093,68.4311,43.0936,0.0,61.0157,487.43359999999996
2003T2,2003,2,,,,,,,,,S128,Compañías de seguros,-0.1112,143.1883,,,,,,,-1.9481,15.7743,,,,143.0771,0.0,13.8262,0.0,0.0,0.0,143.0771,156.9033
2003T2,2003,2,,,,,,,609.7203,0.0,S129,Fondos de pensiones,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003T2,2003,2,0.0032,,-237.6743,,,0.0,,-262.5795,S13,Gobierno general,0.0,58.8947,,,,,,,-780.5168,188.5382,0.0,-8.9961,-8.9961,58.8947,0.0,-591.9786,-8.9961,0.0032,0.0,58.8947,-533.0839000000001
2003T2,2003,2,-88.0204,-272.7644,-360.7848,,,,3722.8577,-361.5057,S11,Empresas no financieras,-34.1159,39.5178,5.402,0.0243,18.5363,18.5606,194.9261,20.3401,410.1032,-499.9585,40.6245,44.3362,84.9606,5.401899999999998,18.5606,-89.8553,84.9607,-360.7848,0.0,23.9625,149.3734
2003T2,2003,2,-28.6564,393.1019,364.4455,,,,397.2863,916.8946,S14_S15,Hogares e IPSFLSH,0.2028,0.0,0.2028,,,,224.0761,20.1014,-136.3184,-39.8375,,,,0.2028,0.0,-176.1559,0.0,364.4455,0.0,0.2028,68.22439999999999
2003T2,2003,2,,,,,,,789.1543,28.1356,S2,Resto del mundo,0.0,-118.2708,,-46.3868,-543.6174,-590.0042,23.2533,1.6568,18.2741,-14.4786,,,,-118.2708,-590.0042,3.7955000000000005,0.0,0.0,0.0,-708.275,-679.5694000000001
2003T3,2003,3,-1.2993,2.8361,1.5368,26.0956,-20.2286,5.8669,168.646,-89.4567,S121,Banco Central,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.5368000000000002,5.867000000000001,0.0,0.0
2003T3,2003,3,160.16,118.78,278.94,30.84,-133.74,-102.9,173.19,129.3,S122,Bancos y cooperativas,-290.47,323.04,32.57,-6.94,440.5,433.56,26.26,0.0,33.49,9.59,0.0,31.79,31.79,32.56999999999999,433.56,43.08,31.79,278.94,-102.9,466.13,535.47
2003T3,2003,3,,,,,,,120.5418,0.0,S123,Fondos mercado monetario,-34.0824,8.1891,-25.8933,,,,0.2513,0.06277278,0.8443,144.7881,,,,-25.8933,0.0,145.6324,0.0,0.0,0.0,-25.8933,120.05317278
2003T3,2003,3,,,,,,,455.7466,-4.3976,S124,Fondos mercado no monetario,-16.203,209.7182,193.5152,0.0,-2.1773,-2.1773,0.1498,5.1845,2.3094,112.5724,,,,193.5152,-2.1773,114.8818,0.0,0.0,0.0,191.3379,311.55400000000003
2003T3,2003,3,9.5911,1.4519,11.043,,,0.0394,308.275,-70.2844,S125_S126,Otros intermediarios y auxiliares,-4.2459,12.9942,8.7484,-8.8151,103.2909,94.4758,15.3037,21.0752,-183.0405,76.1041,-1.5029,91.7259,90.223,8.7483,94.47579999999999,-106.9364,90.223,11.043000000000001,0.0,103.22409999999999,32.66659999999999
2003T3,2003,3,,,,,,,,,S128,Compañías de seguros,-0.7328,140.2134,,,,,,,7.9756,-12.7061,,,,139.4806,0.0,-4.730499999999999,0.0,0.0,0.0,139.4806,134.7501
2003T3,2003,3,,,,,,,405.9605,0.0,S129,Fondos de pensiones,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003T3,2003,3,0.0032,,17.4127,,,0.0,,-246.0494,S13,Gobierno general,0.0,128.0501,,,,,,,67.7455,-434.7236,0.0,12.1354,12.1354,128.0501,0.0,-366.9781,12.1354,0.0032,0.0,128.0501,-238.928
2003T3,2003,3,-17.5516,445.102,427.5504,,,,2418.6608,-708.9817,S11,Empresas no financieras,-147.3613,156.8495,9.4882,-0.0478,45.0569,45.009,12.6727,69.4176,-137.4612,151.9237,-9.3738,75.5727,66.1989,9.488200000000006,45.0091,14.462500000000006,66.1989,427.55039999999997,0.0,54.4973,151.0501
2003T3,2003,3,2.141,322.5057,324.6467,,,,361.8014,803.7041,S14_S15,Hogares e IPSFLSH,-0.872,0.0,-0.872,,,,51.7802,233.3706,191.6933,-171.1403,,,,-0.872,0.0,20.552999999999997,0.0,324.6467,0.0,-0.872,304.8318
2003T3,2003,3,,,,,,,813.7093,216.3432,S2,Resto del mundo,0.0,-83.499,,290.7884,296.0269,586.8153,5.3634,15.5077,60.4506,-4.6786,,,,-83.499,586.8153,55.772,0.0,0.0,0.0,503.31629999999996,579.9594
2003T4,2003,4,4.4643,4.789,9.2533,934.6601,-22.457,912.2031,413.4911,-104.7174,S121,Banco Central,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,9.2533,912.2031000000001,0.0,0.0
2003T4,2003,4,1199.36,48.75,1248.11,849.03,-99.78,749.25,1493.66,137.57,S122,Bancos y cooperativas,-405.26,174.09,-231.17,304.56,711.96,1016.52,14.01,0.0,697.67,358.81,0.0,-151.54,-151.54,-231.17,1016.52,1056.48,-151.54,1248.11,749.25,785.35,1855.84
2003T4,2003,4,,,,,,,306.2774,0.0,S123,Fondos mercado monetario,3.2398,107.4856,110.7254,,,,-0.4072,0.594837085,2.1918,192.1899,,,,110.72540000000001,0.0,194.3817,0.0,0.0,0.0,110.72540000000001,305.294737085
2003T4,2003,4,,,,,,,54.5228,24.3025,S124,Fondos mercado no monetario,80.8203,-6.8359,73.9844,0.0,-5.0117,-5.0117,0.4074,11.3187,-4.4757,-144.544,,,,73.98440000000001,-5.0117,-149.0197,0.0,0.0,0.0,68.9727,-68.3209
2003T4,2003,4,7.0032,35.0069,42.01,,,0.0394,-1483.4245,-4.9115,S125_S126,Otros intermediarios y auxiliares,1.4492,12.7778,14.2269,11.0321,59.6468,70.679,27.9783,22.1018,26.8958,-87.3488,77.4985,158.4483,235.9468,14.226999999999999,70.6789,-60.452999999999996,235.9468,42.0101,0.0,84.9059,74.533
2003T4,2003,4,,,,,,,,,S128,Compañías de seguros,-0.9392,171.3463,,,,,,,-15.4585,-11.5886,,,,170.4071,0.0,-27.0471,0.0,0.0,0.0,170.4071,143.36
2003T4,2003,4,,,,,,,485.8923,0.0,S129,Fondos de pensiones,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003T4,2003,4,0.0032,,-235.4522,,,0.0,,-126.8896,S13,Gobierno general,0.0,-150.0092,,,,,,,160.3482,-64.0657,0.0,147.6741,147.6741,-150.0092,0.0,96.28249999999998,147.6741,0.0032,0.0,-150.0092,-53.72670000000001
2003T4,2003,4,275.2098,-442.9235,-167.7136,,,,2120.2016,-386.5477,S11,Empresas no financieras,-37.9597,855.0293,817.0696,-0.0517,115.9878,115.9361,113.6778,10.9521,152.428,-515.8879,25.6661,999.3644,1025.0305,817.0696,115.9361,-363.45989999999995,1025.0305,-167.71370000000002,0.0,933.0057,694.1757000000001
2003T4,2003,4,16.8314,452.1648,468.9962,,,,511.6187,724.7253,S14_S15,Hogares e IPSFLSH,2.7958,0.0,2.7958,,,,131.5594,5.9815,737.1781,-42.952,,,,2.7958,0.0,694.2261,0.0,468.9962,0.0,2.7958,834.5627999999999
2003T4,2003,4,,,,,,,1043.0617,-195.1541,S2,Resto del mundo,0.0,260.4609,,464.1208,-573.4539,-109.3331,13.6484,0.5896,-25.4439,-19.6206,,,,260.4609,-109.3331,-45.064499999999995,0.0,0.0,0.0,151.12779999999998,120.30129999999998
2004T1,2004,1,-0.8979,-0.1615,-1.0595,-763.3181,27.3341,-735.984,-458.0621,-96.968,S121,Banco Central,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1.0594000000000001,-735.9839999999999,0.0,0.0
2004T1,2004,1,-964.36,10.45,-953.91,-232.33,1234.54,1002.2,487.08,-36.63,S122,Bancos y cooperativas,455.59,67.01,522.59,-647.22,884.27,237.06,45.32,0.0,-384.98,27.49,0.0,-98.09,-98.09,522.6,237.04999999999995,-357.49,-98.09,-953.91,1002.2099999999999,759.65,447.47999999999996
2004T1,2004,1,,,,,,,414.978,0.0,S123,Fondos mercado monetario,24.1081,91.7251,115.8332,,,,-0.3862,-0.00143974,2.9816,295.2096,,,,115.8332,0.0,298.19120000000004,0.0,0.0,0.0,115.8332,413.63676026
2004T1,2004,1,,,,,,,597.6687,1.4667,S124,Fondos mercado no monetario,-3.1585,189.3262,186.1677,0.0,-1.7831,-1.7831,0.6522,12.5865,4.8855,285.1957,,,,186.1677,-1.7831,290.08119999999997,0.0,0.0,0.0,184.3846,487.70449999999994
2004T1,2004,1,-52.963,97.0426,44.0796,,,0.0389,93.5822,0.4265,S125_S126,Otros intermediarios y auxiliares,3.1358,6.0028,9.1386,1.5281,77.2304,78.7585,40.7868,38.8631,0.8113,25.5328,1.3227,53.2271,54.5498,9.1386,78.7585,26.3441,54.5498,44.07959999999999,0.0,87.8971,193.8911
2004T1,2004,1,,,,,,,,,S128,Compañías de seguros,-0.0914,123.8629,,,,,,,-1.4907,-17.6287,,,,123.7715,0.0,-19.1194,0.0,0.0,0.0,123.7715,104.6521
