periodo,año,trimestre,sector_codigo,sector_nombre,A_notional_nominal_total,A_notional_real_total,log_A_real,d_log_A_real
2003T1,2003,1,S11,Empresas no financieras,14573.495145130704,0.8683175924790096,-0.14119774129041615,
2003T2,2003,2,S11,Empresas no financieras,14721.169481847255,0.8770249751531153,-0.13121980907574468,0.00997793221467147
2003T3,2003,3,S11,Empresas no financieras,14873.277960503348,0.8860010290522347,-0.12103716691922647,0.010182642156518207
2003T4,2003,4,S11,Empresas no financieras,15570.113063922843,0.9271851368193442,-0.07560201726266365,0.045435149656562826
2004T1,2004,1,S11,Empresas no financieras,16381.465162141792,0.9754201276354252,-0.0248870006561966,0.050715016606467045
2004T2,2004,2,S11,Empresas no financieras,17018.202917273713,1.0128423801329005,0.01276061605532309,0.03764761671151969
2004T3,2004,3,S11,Empresas no financieras,17548.977556146812,1.0437179214912973,0.04278926281007868,0.03002864675475559
2004T4,2004,4,S11,Empresas no financieras,19915.670183020862,1.1803862701346315,0.16584173248276823,0.12305246967268955
2005T1,2005,1,S11,Empresas no financieras,20367.405322364164,1.2066518040471128,0.187849420005686,0.022007687522917763
2005T2,2005,2,S11,Empresas no financieras,20419.350121820582,1.2096219027909936,0.1903078337452925,0.0024584137396065076
2005T3,2005,3,S11,Empresas no financieras,20802.341472950473,1.231238386727263,0.20802048135999412,0.01771264761470162
2005T4,2005,4,S11,Empresas no financieras,22383.42753489498,1.3191995981083293,0.27702518761518363,0.06900470625518951
2006T1,2006,1,S11,Empresas no financieras,23013.239361130487,1.3543538612633292,0.3033244854438725,0.026299297828688895
2006T2,2006,2,S11,Empresas no financieras,23448.84182203984,1.378352145743279,0.32088868837941775,0.017564202935545226
2006T3,2006,3,S11,Empresas no financieras,24436.674659411132,1.4320353577909657,0.35909675942843977,0.03820807104902202
2006T4,2006,4,S11,Empresas no financieras,26044.824967885645,1.5197380727474898,0.41853799944842934,0.05944124001998957
2007T1,2007,1,S11,Empresas no financieras,26666.732363929576,1.5535871127254537,0.44056652341589325,0.02202852396746391
2007T2,2007,2,S11,Empresas no financieras,27499.82792001455,1.5983190688923583,0.468952495055429,0.028385971639535768
2007T3,2007,3,S11,Empresas no financieras,28362.824055925194,1.6433161404672543,0.49671623714144814,0.027763742086019116
2007T4,2007,4,S11,Empresas no financieras,31061.082932799913,1.780823434426112,0.577075860946107,0.08035962380465883
2008T1,2008,1,S11,Empresas no financieras,30385.256239093862,1.74672956781544,0.557745221124497,-0.019330639821609985
2008T2,2008,2,S11,Empresas no financieras,31373.274789465864,1.7955140786474224,0.5852913757267333,0.027546154602236306
2008T3,2008,3,S11,Empresas no financieras,31779.911550241,1.8148884913344254,0.5960240285481587,0.010732652821425437
2008T4,2008,4,S11,Empresas no financieras,33068.060327894265,1.8749348530362295,0.6285739137714067,0.032549885223247976
2009T1,2009,1,S11,Empresas no financieras,33354.495866044046,1.8886008206565699,0.635836248378438,0.0072623346070312955
2009T2,2009,2,S11,Empresas no financieras,33085.207588536214,1.8757365384121623,0.6290014027750925,-0.006834845603345463
2009T3,2009,3,S11,Empresas no financieras,35586.264468624184,1.995780834282126,0.6910353693966756,0.062033966621583114
2009T4,2009,4,S11,Empresas no financieras,38675.08153185087,2.143268527628346,0.762332013181074,0.07129664378439837
2010T1,2010,1,S11,Empresas no financieras,39559.47004393659,2.1853852345241522,0.7817921217137058,0.019460108532631804
2010T2,2010,2,S11,Empresas no financieras,40222.705420571096,2.216666734929512,0.7960045967949212,0.01421247508121537
2010T3,2010,3,S11,Empresas no financieras,44284.22238612815,2.4069909555855227,0.8783774012473538,0.08237280445243256
2010T4,2010,4,S11,Empresas no financieras,46281.53678398858,2.5000817594968847,0.9163234351381514,0.03794603389079765
2011T1,2011,1,S11,Empresas no financieras,48615.605271466164,2.608249354450212,0.9586792508628773,0.04235581572472591
