periodo,año,trimestre,sector_codigo,sector_nombre,A_notional_nominal_total,A_notional_real_total,log_A_real,d_log_A_real
2003T1,2003,1,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),7916.417598024447,0.47167577861867827,-0.751463439133338,
2003T2,2003,2,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),8911.057369134982,0.5303231326715893,-0.634268773931908,0.11719466520143007
2003T3,2003,3,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),9373.682169282176,0.5576230253395,-0.5840721267379159,0.05019664719399208
2003T4,2003,4,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),9682.499882285707,0.5758746632238694,-0.5518652405339207,0.032206886203995144
2004T1,2004,1,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),10777.09194411066,0.6409483077801369,-0.4448064684020057,0.107058772131915
2004T2,2004,2,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),11375.391412736095,0.6761114712702108,-0.3913973182046938,0.053409150197311905
2004T3,2004,3,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),11908.250018173589,0.7071082384580576,-0.3465715293889627,0.04482578881573113
2004T4,2004,4,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),11430.418906431503,0.6795151373385202,-0.386375768466856,-0.03980423907789332
2005T1,2005,1,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),11450.716911033982,0.6806953375970548,-0.38464044797573044,0.0017353204911255693
2005T2,2005,2,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),11915.175399228361,0.7072521360986703,-0.34636804851704656,0.03827239945868388
2005T3,2005,3,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),12385.112129567395,0.7337759198668097,-0.3095515832619662,0.036816465255080366
2005T4,2005,4,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),11762.922126477342,0.6991613674409396,-0.3578737086831065,-0.04832212542114028
2006T1,2006,1,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),12588.467330478381,0.7452408980862542,-0.29404775973402425,0.06382594894908222
2006T2,2006,2,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),13042.14380062544,0.7702349189412327,-0.2610597211306872,0.032988038603337044
2006T3,2006,3,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),13762.90828195676,0.8094044535263711,-0.21145654429905858,0.049603176831628626
2006T4,2006,4,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),14538.598627909996,0.8517078059848847,-0.16051176169583534,0.05094478260322324
2007T1,2007,1,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),15699.045599201076,0.9148683603912264,-0.08897509248155944,0.0715366692142759
2007T2,2007,2,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),16206.32207863668,0.9421058952416708,-0.059637595393043114,0.029337497088516323
2007T3,2007,3,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),16840.48724299082,0.9751715998298358,-0.02514182364496952,0.0344957717480736
2007T4,2007,4,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),17137.86193906485,0.99032625756095,-0.009720837052325432,0.015420986592644088
2008T1,2008,1,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),17903.787970004138,1.028965423749085,0.028553854488608314,0.03827469154093374
2008T2,2008,2,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),19674.153922860143,1.1163792045643932,0.1100905952800929,0.0815367407914846
2008T3,2008,3,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),19071.991718600028,1.0876888839263574,0.08405515526803531,-0.026035440012057598
2008T4,2008,4,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),19055.20503060591,1.086906381503845,0.08333547885861275,-0.0007196764094225538
2009T1,2009,1,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),22497.193416493847,1.2511251866666848,0.2240432957561034,0.14070781689749065
2009T2,2009,2,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),23667.412362769843,1.3070282023937991,0.2677560123693446,0.04371271661324119
2009T3,2009,3,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),24155.218111978316,1.3304416233964402,0.2855109347845327,0.017754922415188112
2009T4,2009,4,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),23923.50605215372,1.3193776217011337,0.27716012669654766,-0.008350808087985051
2010T1,2010,1,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),26024.70999053539,1.419442004256746,0.35026383963744984,0.07310371294090218
2010T2,2010,2,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),25441.850213777427,1.39195141948812,0.3307066615101987,-0.019557178127251162
2010T3,2010,3,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),23090.350515314403,1.2817592545216407,0.24823355187923957,-0.08247310963095911
