periodo,año,trimestre,sector_pasivo_codigo,total_credito,hhi,n_acreedores,part_bancario,part_nbfi,sector_nombre
2003T1,2003,1,S11,44216.78387027655,3894.4143783096642,10,0.4251938193084407,0.1059909395388825,Empresas no financieras
2003T2,2003,2,S11,43031.74000551918,3801.3217852373573,10,0.43114806549904705,0.11661505278345949,Empresas no financieras
2003T3,2003,3,S11,42316.79362289437,3777.8723534967917,10,0.4377291920761774,0.12396532025760304,Empresas no financieras
2003T4,2003,4,S11,40868.643780764294,3646.9937910357053,10,0.453803339159144,0.13990162148977534,Empresas no financieras
2004T1,2004,1,S11,41653.05317930421,3600.5653511476075,10,0.4357926310418359,0.14502923084869718,Empresas no financieras
2004T2,2004,2,S11,42203.61713523991,3546.410534989396,10,0.43556261827305004,0.15334115047545183,Empresas no financieras
2004T3,2004,3,S11,42681.82661267325,3516.391269113518,10,0.4418619741263642,0.16529691132413157,Empresas no financieras
2004T4,2004,4,S11,41346.97549692723,3466.2717874356517,10,0.4695559927610624,0.169247600476035,Empresas no financieras
2005T1,2005,1,S11,42989.74209648404,3500.0133335069804,10,0.4648240420900411,0.16131710468843796,Empresas no financieras
2005T2,2005,2,S11,44047.76464486375,3450.6410573921203,10,0.46810021930736784,0.17108246984716308,Empresas no financieras
2005T3,2005,3,S11,43604.11113187368,3457.0031134546784,10,0.4859556727908801,0.18106996890272034,Empresas no financieras
2005T4,2005,4,S11,43900.815940558714,3596.0701594044435,10,0.5095573199235051,0.17397608234258927,Empresas no financieras
2006T1,2006,1,S11,45200.315004695694,3588.589277435187,10,0.5099874290266054,0.1712249480821728,Empresas no financieras
2006T2,2006,2,S11,46955.384672107466,3620.7357942635676,10,0.5089800305274379,0.16683545804016015,Empresas no financieras
2006T3,2006,3,S11,48493.84179752717,3621.0398668482426,10,0.510656066789987,0.1745139601469107,Empresas no financieras
2006T4,2006,4,S11,49988.81099650291,3606.9879692879917,10,0.5140142206461535,0.18246038826096872,Empresas no financieras
2007T1,2007,1,S11,51618.61032048275,3684.1060766845126,10,0.524793421060862,0.18152437442796748,Empresas no financieras
2007T2,2007,2,S11,52185.67279984603,3810.2548476989523,10,0.5415389645936058,0.18130817500978602,Empresas no financieras
2007T3,2007,3,S11,54771.82148814594,3791.06742255535,10,0.5443156584468014,0.18012933417816449,Empresas no financieras
2007T4,2007,4,S11,56966.68975034387,3883.972524651125,10,0.5596149247108054,0.17624711894164855,Empresas no financieras
2008T1,2008,1,S11,56631.81842459433,3914.3804675979227,10,0.5705037632941002,0.19217073219815659,Empresas no financieras
2008T2,2008,2,S11,62374.809125839594,3887.651596973979,10,0.5571119053666057,0.1784733556139368,Empresas no financieras
2008T3,2008,3,S11,68113.3158149386,3761.119033498172,10,0.5332756359433513,0.17651548418573693,Empresas no financieras
2008T4,2008,4,S11,74020.55436143273,3792.180449462911,10,0.5271532143447002,0.16434402217852462,Empresas no financieras
2009T1,2009,1,S11,73946.63731912633,3623.983874967077,10,0.5020998132038155,0.175608274846911,Empresas no financieras
2009T2,2009,2,S11,70798.4142433332,3546.1836491783715,10,0.5024655538739669,0.1889960204327928,Empresas no financieras
2009T3,2009,3,S11,72832.00954114992,3475.3359684107504,10,0.48800125215351214,0.18465729116825863,Empresas no financieras
2009T4,2009,4,S11,73234.06441192963,3516.216299820131,10,0.4998108621390651,0.1886141801899901,Empresas no financieras
2010T1,2010,1,S11,75365.52318074073,3496.0375361886754,10,0.49066882646184984,0.18518414058796995,Empresas no financieras
2010T2,2010,2,S11,78674.57734378104,3500.2100136138547,10,0.4854578037280206,0.18235532358379117,Empresas no financieras
2010T3,2010,3,S11,76955.42649786916,3527.6772274978025,10,0.4975125969379124,0.18738127232201407,Empresas no financieras
2010T4,2010,4,S11,77684.23205794138,3563.9389177662433,10,0.504780922118804,0.18625788768214566,Empresas no financieras
2011T1,2011,1,S11,80963.5521299666,3557.084684925228,10,0.5015029311972805,0.18345004899576484,Empresas no financieras
2011T2,2011,2,S11,83000.59462417143,3608.609824287001,10,0.5125971206578082,0.18431926058431275,Empresas no financieras
2011T3,2011,3,S11,88197.73431783175,3642.569997852418,10,0.5112762188298833,0.1779301715511088,Empresas no financieras
2011T4,2011,4,S11,91567.34688771277,3652.957139755887,10,0.5070452001726536,0.17349370550127666,Empresas no financieras
2012T1,2012,1,S11,91783.30785624454,3677.651934393242,10,0.5156606719009456,0.16709589035768366,Empresas no financieras
2012T2,2012,2,S11,96799.742052094,3691.905695309453,10,0.5108831259598836,0.16056548484359923,Empresas no financieras
2012T3,2012,3,S11,98309.24752399849,3697.602989905264,10,0.5068040902172865,0.1559519241885368,Empresas no financieras
2012T4,2012,4,S11,104605.00145819125,3727.7804958828247,10,0.5024590042422488,0.14731545703625581,Empresas no financieras
2013T1,2013,1,S11,105153.2239477653,3708.2529574818145,10,0.500890910743102,0.1487715502229365,Empresas no financieras
2013T2,2013,2,S11,110226.35248911202,3737.523360356413,10,0.49707201827307884,0.14484451143775423,Empresas no financieras
2013T3,2013,3,S11,113600.73242750518,3740.4315292534307,10,0.497472731566931,0.14145054085513992,Empresas no financieras
2013T4,2013,4,S11,119786.06350910293,3713.311285324217,10,0.48248794333383166,0.13951450042367516,Empresas no financieras
2014T1,2014,1,S11,125105.74755981406,3715.7516748115822,10,0.46985996559954013,0.13680941790408635,Empresas no financieras
2014T2,2014,2,S11,128203.80019675125,3692.2471707258596,10,0.4636018060919164,0.13939877610312446,Empresas no financieras
2014T3,2014,3,S11,137018.01018931635,3673.155546895806,10,0.4420312898955858,0.13556127450824848,Empresas no financieras
2014T4,2014,4,S11,143428.03251977812,3702.709302495693,10,0.435419054847219,0.1348613567798447,Empresas no financieras
2015T1,2015,1,S11,146542.6596502529,3685.4087727824212,10,0.4229320239979837,0.13836704131625951,Empresas no financieras
2015T2,2015,2,S11,149053.36811678717,3687.955424904945,10,0.4235568948279503,0.13840231425660368,Empresas no financieras
2015T3,2015,3,S11,164775.64919644638,3772.9136100223504,10,0.39783215543607786,0.13070571297216269,Empresas no financieras
2015T4,2015,4,S11,165379.999381855,3775.2218501175425,10,0.40567911104955384,0.12894381869839355,Empresas no financieras
2016T1,2016,1,S11,164643.0311083861,3735.801615695997,10,0.4131757744883901,0.1332395189469887,Empresas no financieras
2016T2,2016,2,S11,164637.6587878979,3721.7532401412327,10,0.4170446430195818,0.1338011801713981,Empresas no financieras
2016T3,2016,3,S11,166949.23968158936,3674.231680815688,10,0.414481376306635,0.14092607187834705,Empresas no financieras
2016T4,2016,4,S11,169376.5497952245,3650.081107908704,10,0.41437231930102747,0.14346878809830793,Empresas no financieras
2017T1,2017,1,S11,169540.5364835929,3599.5879763488965,10,0.41320637983502456,0.14995096801629657,Empresas no financieras
2017T2,2017,2,S11,171314.1779120418,3556.080529047837,10,0.4133936022518335,0.1515065964545911,Empresas no financieras
2017T3,2017,3,S11,169806.73925723307,3553.9343558423616,10,0.4208238165060576,0.15043306699674136,Empresas no financieras
2017T4,2017,4,S11,168093.4778794675,3568.268391332813,10,0.4306464793893299,0.15003304026774322,Empresas no financieras
2018T1,2018,1,S11,169306.66165127573,3566.8204764508814,10,0.43338540295560557,0.14994444890678052,Empresas no financieras
2018T2,2018,2,S11,173994.58777389146,3570.5053083269268,10,0.43520622438409234,0.15671789965637406,Empresas no financieras
2018T3,2018,3,S11,178208.34578545287,3568.6871047828618,10,0.4332733685658629,0.15612701777659324,Empresas no financieras
2018T4,2018,4,S11,184766.44288008698,3565.5556405830803,10,0.42192812973378946,0.1556974740069319,Empresas no financieras
2019T1,2019,1,S11,185465.8264297975,3551.23982281252,10,0.424583611453393,0.15923101709941154,Empresas no financieras
2019T2,2019,2,S11,192057.84000912757,3484.5860533955624,10,0.41842457483932927,0.16758595940457613,Empresas no financieras
2019T3,2019,3,S11,203523.82702589963,3472.7693451472746,10,0.40502847176792295,0.1713251061894282,Empresas no financieras
2019T4,2019,4,S11,207365.6022852775,3556.9145459888737,10,0.4097150821832076,0.1577225730161329,Empresas no financieras
2020T1,2020,1,S11,221666.0026004908,3662.5868967203646,11,0.4069226300267947,0.1403521431027474,Empresas no financieras
2020T2,2020,2,S11,234196.3888210354,3614.501759655142,11,0.40576855051239563,0.14765539754265178,Empresas no financieras
2020T3,2020,3,S11,232601.78967292808,3604.9261727659778,11,0.4076296852127502,0.14817857006076884,Empresas no financieras
2020T4,2020,4,S11,220507.17691206274,3513.5534025077854,11,0.41192839955437044,0.15848975801354945,Empresas no financieras
2021T1,2021,1,S11,222230.55424349377,3545.7879656861423,11,0.41477190757184307,0.15631083046039213,Empresas no financieras
2021T2,2021,2,S11,221182.45592598573,3625.9231647542233,11,0.4218769099712345,0.14484007875081337,Empresas no financieras
